ID,nframes_tot,nframes_ppt,nframes_av,nframes_pal,nframes_figs,prop_nenjoy_tot,prop_nenjoy_ppt,prop_nenjoy_av,prop_nenjoy_pal,prop_nenjoy_figs,prop_nfuzz_tot,prop_nfuzz_ppt,prop_nfuzz_av,prop_nfuzz_pal,prop_nfuzz_figs,prop_nneut_tot,prop_nneut_ppt,prop_nneut_av,prop_nneut_pal,prop_nneut_figs,prop_nemo_tot,prop_nemo_ppt,prop_nemo_av,prop_nemo_pal,prop_nemo_figs,prop_nengaged_tot,prop_nengaged_ppt,prop_nengaged_av,prop_nengaged_pal,prop_nengaged_figs,prop_ndisengaged_tot,prop_ndisengaged_ppt,prop_ndisengaged_av,prop_ndisengaged_pal,prop_ndisengaged_figs,prop_ngazes_tot,prop_ngazes_ppt,prop_ngazes_av,prop_ngazes_pal,prop_ngazes_figs,prop_aenjoy_tot,prop_aenjoy_ppt,prop_aenjoy_av,prop_aenjoy_pal,prop_aenjoy_figs,prop_afuzz_tot,prop_afuzz_ppt,prop_afuzz_av,prop_afuzz_pal,prop_afuzz_figs,prop_aneut_tot,prop_aneut_ppt,prop_aneut_av,prop_aneut_pal,prop_aneut_figs,prop_aemo_tot,prop_aemo_ppt,prop_aemo_av,prop_aemo_pal,prop_aemo_figs,prop_aengaged_tot,prop_aengaged_ppt,prop_aengaged_av,prop_aengaged_pal,prop_aengaged_figs,prop_adisengaged_tot,prop_adisengaged_ppt,prop_adisengaged_av,prop_adisengaged_pal,prop_adisengaged_figs,prop_agazes_tot,prop_agazes_ppt,prop_agazes_av,prop_agazes_pal,prop_agazes_figs,prop_shared_paf_tot,prop_shared_paf_ppt,prop_shared_paf_av,prop_shared_paf_pal,prop_shared_paf_figs,prop_shared_val_tot,prop_shared_val_ppt,prop_shared_val_av,prop_shared_val_pal,prop_shared_val_figs,prop_shared_neu_tot,prop_shared_neu_ppt,prop_shared_neu_av,prop_shared_neu_pal,prop_shared_neu_figs,prop_sync_gaze_tot,prop_sync_gaze_ppt,prop_sync_gaze_av,prop_sync_gaze_pal,prop_sync_gaze_figs,prop_sync_eng_tot,prop_sync_eng_ppt,prop_sync_eng_av,prop_sync_eng_pal,prop_sync_eng_figs
C3I04,16463,1754,6188,8521,14709,0.126409017713366,0.664196123147092,0.0823200788695366,0.0451480857211654,0.0608671484157865,0.129319955406912,0,0.207196845218534,0.0995665783770768,0.145080600333519,0.744271026879723,0.335803876852908,0.710483075911929,0.855285335901758,0.794052251250695,-0.0029109376935464,0.664196123147092,-0.124876766348998,-0.0544184926559114,-0.0842134519177321,0.913352183474709,1,0.948136958710977,0.869559917103499,0.902619871478003,0,0,0,0,0,0.913352183474709,1,0.948136958710977,0.869559917103499,0.902619871478003,0.321205126647634,1,0.31431803490627,0.186480460039901,0.240261064654293,0.0134847840612282,0,0,0.02605328013144,0.0150928003263308,0.665310089291138,0,0.68568196509373,0.787466259828659,0.744646135019376,0.307720342586406,1,0.31431803490627,0.160427179908461,0.225168264327962,0.984935916904574,0.98460661345496,0.994182288299935,0.9782889332238,0.984975185260725,0,0,0,0,0,0.984935916904574,0.98460661345496,0.994182288299935,0.9782889332238,0.984975185260725,0.110677567199306,0.664196123147092,0.0657246138678935,0.0267276667469299,0.0432184546970539,0.653041000867088,0.664196123147092,0.548636214262241,0.727185167348904,0.651681489716509,0.542363433667782,0,0.482911600394348,0.700457500601974,0.608463035019455,0.904869619855482,0.98460661345496,0.942933870426318,0.860173107399732,0.894993291434221,0.901476594407791,0.98460661345496,0.942933870426318,0.853590149945142,0.89118000141233
C3I05,22077,1291,8496,12290,20786,0.0513354985699743,0.256390395042603,0.0255521314843349,0.0458008658008658,0.0376460854276554,0.0168694556207281,0,0.00770416024653313,0.0249350649350649,0.0179956562209122,0.931795045809298,0.743609604957397,0.966743708269132,0.929264069264069,0.944358258351432,0.0344660429492462,0.256390395042603,0.0178479712378017,0.0208658008658009,0.0196504292067432,0.90005774227697,0.92563903950426,0.939693267481154,0.871407985080953,0.898363347185881,0.0239149263785969,0,0,0.0421293549207426,0.0254989482325176,0.876142815898374,0.92563903950426,0.939693267481154,0.82927863016021,0.872864398953363,0.200842505775241,0.92563903950426,0.154425612052731,0.156794141578519,0.155826036755509,0,0,0,0,0,0.799157494224759,0.0743609604957397,0.845574387947269,0.843205858421481,0.844173963244491,0.200842505775241,0.92563903950426,0.154425612052731,0.156794141578519,0.155826036755509,0.971631848461504,1,0.973870056497175,0.967127746135069,0.969883575483498,0.0151810395613359,0,0,0.0272579332790887,0.0161166169537189,0.956450808900168,1,0.973870056497175,0.93986981285598,0.95376695852978,0.0349992728682922,0.256390395042603,0.0208012326656394,0.0198268398268398,0.0202192574206226,0.816859760531291,0.330751355538342,0.871468926553672,0.834372294372294,0.849312234977764,0.781860487662999,0.0743609604957397,0.850667693888033,0.814545454545455,0.829092977557141,0.892932794145966,0.932864949258392,0.93033532622823,0.864202763414427,0.890308347442409,0.891536683997689,0.932864949258392,0.93033532622823,0.861744511316436,0.888820481247755
C3I06,7942,871,6530,541,7071,0.215176578705527,0.954075774971297,0.125271317829457,0,0.119774681292618,0,0,0,0,0,0.784823421294473,0.0459242250287026,0.874728682170543,1,0.880225318707382,0.215176578705527,0.954075774971297,0.125271317829457,0,0.119774681292618,0.95703125,0.9375,0.957571099154497,1,0.959507042253521,0,0,0,0,0,0.95703125,0.9375,0.957571099154497,1,0.959507042253521,0.191891211281793,1,0.0977029096477795,0.0277264325323475,0.0923490312544195,0,0,0,0,0,0.808108788718207,0,0.90229709035222,0.972273567467652,0.90765096874558,0.191891211281793,1,0.0977029096477795,0.0277264325323475,0.0923490312544195,0.973684210526316,0.974741676234214,0.988208269525268,0.796672828096118,0.973553952764814,0,0,0,0,0,0.973684210526316,0.974741676234214,0.988208269525268,0.796672828096118,0.973553952764814,0.149402651962715,0.954075774971297,0.0475968992248062,0,0.0455084494515268,0.884468951030589,0.954075774971297,0.871007751937985,0.972972972972973,0.875481766973021,0.735066299067874,0,0.823410852713178,0.972972972972973,0.829973317521494,0.95,0.958333333333333,0.956495003843198,0.790996784565916,0.948943661971831,0.944010416666667,0.935185185185185,0.95249807840123,0.790996784565916,0.945129107981221
C3I07,11222,571,4211,6440,10651,0.125467831046159,0.879159369527145,0.0596057943481358,0.101708074534161,0.0850624354520702,0.0105150597041526,0,0,0.0183229813664596,0.0110787719462961,0.864017109249688,0.120840630472855,0.940394205651864,0.879968944099379,0.903858792601634,0.114952771342007,0.879159369527145,0.0596057943481358,0.0833850931677019,0.0739836635057741,0.890482979860987,0.957968476357268,0.941106625504631,0.85139751552795,0.88686508309079,0.00819818214222064,0,0.021847542151508,0,0.00863768660219698,0.882284797718767,0.957968476357268,0.919259083353123,0.85139751552795,0.878227396488593,0.260916057743718,1,0.14580859653289,0.270652173913043,0.221293775232373,0,0,0,0,0,0.739083942256282,0,0.85419140346711,0.729347826086956,0.778706224767627,0.260916057743718,1,0.14580859653289,0.270652173913043,0.221293775232373,0.994286734511694,1,1,0.990062111801242,0.993991174537602,0,0,0,0,0,0.994286734511694,1,1,0.990062111801242,0.993991174537602,0.123240064159686,0.879159369527145,0.0536689622417478,0.101708074534161,0.082715238005821,0.860096239529496,0.879159369527145,0.90192353360247,0.831055900621118,0.859074265327199,0.736856175369809,0,0.848254571360722,0.729347826086956,0.776359027321378,0.890644527762899,0.956442831215971,0.941106625504631,0.852018633540373,0.887240634682189,0.887609355472237,0.956442831215971,0.941106625504631,0.846739130434783,0.884048446155291
C3I09,11070,2990,8080,0,8080,0.104900957872222,0.334581347855684,0.018554062699936,NA,0.018554062699936,0.00967171952013392,0,0.0133077415227127,NA,0.0133077415227127,0.885427322607644,0.665418652144316,0.968138195777351,NA,0.968138195777351,0.0952292383520878,0.334581347855684,0.00524632117722329,NA,0.00524632117722329,0.929113455487692,0.901672240802676,0.939611054247697,NA,0.939611054247697,0,0,0,NA,0,0.929113455487692,0.901672240802676,0.939611054247697,NA,0.939611054247697,0.247967479674797,0.593311036789298,0.120173267326733,NA,0.120173267326733,0,0,0,NA,0,0.752032520325203,0.406688963210702,0.879826732673267,NA,0.879826732673267,0.247967479674797,0.593311036789298,0.120173267326733,NA,0.120173267326733,0.969015356820235,0.97123745819398,0.968193069306931,NA,0.968193069306931,0,0,0,NA,0,0.969015356820235,0.97123745819398,0.968193069306931,NA,0.968193069306931,0.0896494001673951,0.31211708645337,0.00601407549584133,NA,0.00601407549584133,0.838277689946992,0.701157249829816,0.889827255278311,NA,0.889827255278311,0.748628289779596,0.389040163376447,0.88381317978247,NA,0.88381317978247,0.92670738478623,0.88561872909699,0.942425793244626,NA,0.942425793244626,0.921432537479178,0.879264214046823,0.937563971340839,NA,0.937563971340839
C3I10,16586,961,6695,8930,15625,0.302001688170746,0.95525494276795,0.244361463778939,0.27491601343785,0.261824,0.01507295309297,0,0.0373412994772218,0,0.016,0.682925358736284,0.0447450572320499,0.718297236743839,0.72508398656215,0.722176,0.286928735077776,0.95525494276795,0.207020164301718,0.27491601343785,0.245824,0.922525021102134,0.91363163371488,0.860194174757282,0.970212765957447,0.923072,0,0,0,0,0,0.922525021102134,0.91363163371488,0.860194174757282,0.970212765957447,0.923072,0.49234771036235,1,0.563102409638554,0.385106382978723,0.461014771997431,0,0,0,0,0,0.507652289637651,0,0.436897590361446,0.614893617021277,0.538985228002569,0.49234771036235,1,0.563102409638554,0.385106382978723,0.461014771997431,0.982931848444498,0.896982310093652,0.990649977378978,0.986450167973124,0.988239830345094,0,0,0,0,0,0.982931848444498,0.896982310093652,0.990649977378978,0.986450167973124,0.988239830345094,0.262355574375416,0.95525494276795,0.200451807228916,0.233818589025756,0.219588953114965,0.732684048151957,0.95525494276795,0.599698795180723,0.807614781634938,0.718946692357097,0.470328473776541,0,0.399246987951807,0.573796192609183,0.499357739242132,0.923435419440746,0.839750260145682,0.877846478660835,0.966293393057111,0.928603560182508,0.916232901585764,0.825182101977107,0.868496456039813,0.961478163493841,0.921855921855922
C3I11,14654,691,7551,6412,13963,0.0804794520547945,1,0.0641484426772697,0,0.0347976130562945,0.406095890410959,0,0.215109343936382,0.67661847894406,0.426270759939607,0.513424657534247,0,0.720742213386349,0.32338152105594,0.538931627004098,-0.325616438356164,1,-0.150960901259112,-0.67661847894406,-0.391473146883313,0.705601989362437,0.921852387843705,0.797655934258386,0.574728901461575,0.694762802843464,0.150859984803481,0,0,0.343234323432343,0.158421587117365,0.554742004558956,0.921852387843705,0.797655934258386,0.231494578029231,0.536341215726099,0.0527501023611301,0.981186685962373,0.0125811150840948,0,0.00680369548091384,0.013170465401938,0,0,0.0300998128509046,0.0138222445033302,0.934079432236932,0.0188133140376266,0.987418884915905,0.969900187149095,0.979374060015756,0.039579636959192,0.981186685962373,0.0125811150840948,-0.0300998128509046,-0.00701854902241639,0.985709401709402,0.952243125904486,1,0.972426758577471,0.987369025405483,0,0,0,0,0,0.985709401709402,0.952243125904486,1,0.972426758577471,0.987369025405483,0.0500684931506849,0.981186685962373,0.00702451954937044,0,0.00381048242145373,0.573835616438356,0.981186685962373,0.722200132538105,0.353708359522313,0.553598389531958,0.510547945205479,0,0.715175612988734,0.32338152105594,0.535911999424833,0.693798449612403,0.874095513748191,0.797655934258386,0.55241553520682,0.684742313004289,0.693798449612403,0.874095513748191,0.797655934258386,0.55241553520682,0.684742313004289
C3I12,22940,3541,10482,8917,19399,0.292053806684232,0.818127608825283,0.14118500103584,0.256347826086956,0.195524919306308,0.0148846669440207,0,0.0333540501346592,0,0.0176158433174681,0.693061526371747,0.181872391174717,0.825460948829501,0.743652173913044,0.786859237376224,0.277169139740212,0.818127608825283,0.107830950901181,0.256347826086957,0.17790907598884,0.709123039540535,0.953967805704603,0.839973120860132,0.452114786216434,0.663716350686079,0.108151093439364,0,0,0.282125158464907,0.128207813972976,0.600971946101171,0.953967805704603,0.839973120860132,0.169989627751527,0.535508536713104,0.136841179832081,0.513045944412932,0.0433157642549114,0.0969503868912153,0.0678354055038235,0.00241768868961273,0,0,0.00625853436504324,0.00286115590698642,0.860741131478307,0.486954055587068,0.956684235745089,0.896791078743741,0.92930343858919,0.134423491142468,0.513045944412932,0.0433157642549114,0.0906918525261721,0.0649742495968371,0.966331150279109,0.994895065229722,0.970179307699684,0.950318326512051,0.96109232769831,0,0,0,0,0,0.966331150279109,0.994895065229722,0.970179307699684,0.950318326512051,0.96109232769831,0.125268165283089,0.510931416591794,0.0290413240345581,0.0825094161958569,0.0541346738109706,0.795634735565712,0.670859538784067,0.836889767877589,0.798022598870056,0.818648842733249,0.670366570282623,0.159928122192273,0.807848443843031,0.7155131826742,0.764514168922278,0.702897583121912,0.948667044809983,0.836646082593593,0.440247172671097,0.657145874029882,0.692571326834913,0.948667044809983,0.8254534928599,0.426722630290311,0.644897312707882
C3I14,16005,1621,5656,8728,14384,0.538371090381751,0.405378486055777,0.702373581011352,0.442675159235669,0.549731983323407,0.0446029630790938,0.157370517928287,0.0404540763673891,0.0311233352634627,0.0349697949459712,0.417025946539155,0.437250996015936,0.257172342621259,0.526201505500869,0.415298221730622,0.493768127302657,0.24800796812749,0.661919504643963,0.411551823972206,0.514762188377436,0.743746345266714,1,0.803269340429576,0.658848364020171,0.713954163040325,0.155610421675005,0,0.0102642083254134,0.274539697431688,0.173701769654772,0.588135923591709,1,0.793005132104163,0.384308666588484,0.540252393385553,0.213870665417057,1,0.205445544554455,0.073327222731439,0.12527808676307,0,0,0,0,0,0.786129334582943,0,0.794554455445545,0.926672777268561,0.87472191323693,0.213870665417057,1,0.205445544554455,0.073327222731439,0.12527808676307,0.971342572270646,1,0.953876175270534,0.977428964252979,0.968186564566655,0,0,0,0,0,0.971342572270646,1,0.953876175270534,0.977428964252979,0.968186564566655,0.117582503723446,0.405378486055777,0.136016511867905,0.0628257093225246,0.0929975325448822,0.485694128713647,0.405378486055777,0.377089783281734,0.573537927041112,0.492555092316855,0.368111624990201,0,0.241073271413829,0.510712217718587,0.399557559771973,0.745255331637644,1,0.815909958031286,0.655095578749853,0.716319267920691,0.73371160242614,1,0.789584128195345,0.650521871701654,0.703464303871015
C3I16,15421,808,4579,10034,14613,0.146683094481551,0.67450495049505,0.111378030137585,0.120291010564082,0.117498118114008,0.0608909928020232,0.0297029702970297,0,0.09118995415587,0.0626154793676863,0.792425912716426,0.295792079207921,0.888621969862415,0.788519035280048,0.819886402518306,0.0857921016795279,0.64480198019802,0.111378030137585,0.0291010564082121,0.0548826387463218,0.975097276264591,0.92450495049505,0.964184319720463,0.984152297418519,0.977894880919792,0,0,0,0,0,0.975097276264591,0.92450495049505,0.964184319720463,0.984152297418519,0.977894880919792,0.0900813008130081,0.974009900990099,0.0465475402603133,0.0385688658560893,0.041051692180957,0,0,0,0,0,0.909918699186992,0.025990099009901,0.953452459739687,0.961431134143911,0.958948307819043,0.0900813008130081,0.974009900990099,0.0465475402603133,0.0385688658560893,0.041051692180957,0.987447154471545,0.956683168316832,0.986763732627399,0.990233207095874,0.989153566279948,0,0,0,0,0,0.987447154471545,0.956683168316832,0.986763732627399,0.990233207095874,0.989153566279948,0.0517723577235772,0.67450495049505,0.0187513787778513,0.0165437512457644,0.0172307269856525,0.807089430894309,0.70049504950495,0.879329362453122,0.783037671915487,0.813001990801126,0.755317073170732,0.025990099009901,0.86057798367527,0.766493920669723,0.795771263815473,0.975998438922857,0.967821782178218,0.970218398411648,0.979268414233031,0.976452011533709,0.970664758683492,0.92450495049505,0.965144495918818,0.976876308182996,0.973225319236578
