IDNA,IDNB,NEFNNRA,NEFNNRB,NEFNRA,NEFNRB,NEFPRA,NEFPRB,NEFPPRA,NEFPPRB,NEFNENRA,NEFNENRB,NEFNCRA,NEFNCRB,NEFPCRA,NEFPCRB,NEFERA,NEFERB,NEFECRA,NEFECRB,NITDRA,NITDRB,NITFRA,NITFRB,NITARA,NITARB,NITMRA,NITMRB,NITCDFRA,NITCDFRB,NITCFARA,NITCFARB,NITERA,NITERB,NITAIRA,NITAIRB,NITCFAIRA,NITCFAIRB,NITEIRA,NITEIRB,NPDRRA,NPDRRB,NPDDRA,NPDDRB,NAMBRA,NAMBRB,NAFRA,NAFRB,NIPPRA,NIPPRB,NIPDRA,NIPDRB,NIDGRA,NIDGRB,NIDPRA,NIDPRB,NIDDRA,NIDDRB
240524_01_BC101_AB.XLSX,240524_01_BC101_SC.XLSX,0,0,0.1,0,0.5,0.4,0.1,0.1,0.5,0.5,0.1,0,0.5,0.5,0.4,0.6,0.3,0.5,0,0,0.3,0.8,0.7,0.2,0,0,0.3,0.8,1,1,0.7,0.2,0.7,0.2,1,1,0.7,0.2,0,0,0,0,0.5,0.4,0.8,0.5,0,0,0.1,0.2,0,0,0,0,0,0
240524_03_BC103_SC.XLSX,240524_03_BC103_SZ.XLSX,0.1,0,0,0,0.2,0.4,0,0,0.7,0.6,0.1,0,0.2,0.4,0,0.4,0.1,0.4,0,0,0.3,0.2,0.7,0.8,0,0,0.3,0.2,1,1,0.7,0.8,0.7,0.8,1,1,0.7,0.8,0,0,0.2,0.2,0,0,0,0,0.7,1,0.4,0.4,0,0,0,0,0,0
240524_05_BC115_AB.XLSX,240524_05_BC115_SC.XLSX,0,0,0.2,0.2,0.1,0.3,0,0,0.7,0.5,0.2,0.2,0.1,0.3,-0.1,0.1,-0.1,0.1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.3,0.8,0.1,0.1,0,0.1,0.6,0.5,0.1,0.1,0,0,0,0.1,0,0
240527_02_AA412_KL.XLSX,240527_02_AA412_LL.XLSX,0,0,0.2,0.2,0.2,0.1,0,0.1,0.7,0.7,0.2,0.2,0.2,0.2,-0.1,-0.1,-0.1,-0.1,0,0,0.4,0.1,0.6,0.9,0,0,0.4,0.1,1,1,0.6,0.9,0.6,0.9,1,1,0.6,0.9,0,0,0.1,0.1,0,0,0.6,0.4,0.1,0.3,0,0.1,0,0,0,0,0,0
240528_03_AB408_KL.XLSX,240528_03_AB408_PVM.XLSX,0.3,0.2,0,0.2,0.3,0.1,0,0.1,0.4,0.4,0.3,0.4,0.3,0.2,-0.3,-0.3,0,-0.2,0,0,0.2,0,0.8,1,0,0,0.2,0,1,1,0.8,1,0.8,1,1,1,0.8,1,0,0,0,0,0.1,0,0.6,0.6,0.9,0.8,0.3,0.1,0,0,0.1,0.1,0,0
240529_03_BA317_GA.XLSX,240529_03_BA317_JF.XLSX,0.1,0.2,0,0.1,0,0.3,0,0,0.9,0.4,0.1,0.3,0,0.3,-0.2,-0.2,-0.1,0,0,0,0.6,0.3,0.4,0.7,0,0,0.6,0.3,1,1,0.4,0.7,0.4,0.7,1,1,0.4,0.7,0,0,0.7,0.5,0,0,0,0.3,0.2,0.4,0,0.6,0.3,0.4,0.3,0.2,0.1,0
240529_06_BA303_GA.XLSX,240529_06_BA303_JF.XLSX,0,0,0,0.1,0.5,0.4,0,0,0.5,0.5,0,0.1,0.5,0.4,0.5,0.3,0.5,0.3,0,0,0,0.2,0.9,0.8,0.1,0,0,0.2,0.9,1,1,0.8,1,0.8,1,1,1,0.8,0,0,0,0,0.5,0.5,0.4,0.1,0.3,0.3,0.9,1,0,0.2,0,0,0,0
240530_03_BC104_AB.XLSX,240530_03_BC104_GA.XLSX,0,0,0.1,0,0.2,0.3,0,0,0.7,0.7,0.1,0,0.2,0.3,0.1,0.3,0.1,0.3,0.1,0.3,0.3,0.1,0.6,0.6,0,0,0.4,0.4,0.9,0.7,0.5,0.3,0.6,0.6,0.9,0.7,0.5,0.3,0,0.1,0.5,0.6,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0,0.1,0.2,0.2,0,0.1
240530_05_BC108_AB.XLSX,240530_05_BC108_GA.XLSX,0,0,0.1,0,0.5,0.7,0.2,0,0.3,0.3,0.1,0,0.6,0.7,0.7,0.7,0.5,0.7,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.3,0.3,0,0,0.1,0,1,0.8,0.1,0,0,0,0,0,0,0
240531_05_BB221_SC.XLSX,240531_05_BB221_SZ.XLSX,0.1,0,0,0.1,0.2,0.3,0,0.1,0.7,0.5,0.1,0.1,0.2,0.4,0,0.4,0.1,0.3,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.3,0,0.6,0.9,0,0.1,0.1,0.1,0,0,0,0
