IDNA,IDNB,NEFNNRA,NEFNNRB,NEFNRA,NEFNRB,NEFPRA,NEFPRB,NEFPPRA,NEFPPRB,NEFNENRA,NEFNENRB,NEFNCRA,NEFNCRB,NEFPCRA,NEFPCRB,NEFERA,NEFERB,NEFECRA,NEFECRB,NITDRA,NITDRB,NITFRA,NITFRB,NITARA,NITARB,NITMRA,NITMRB,NITCDFRA,NITCDFRB,NITCFARA,NITCFARB,NITERA,NITERB,NITAIRA,NITAIRB,NITCFAIRA,NITCFAIRB,NITEIRA,NITEIRB,NPDRRA,NPDRRB,NPDDRA,NPDDRB,NAMBRA,NAMBRB,NAFRA,NAFRB,NIPPRA,NIPPRB,NIPDRA,NIPDRB,NIDGRA,NIDGRB,NIDPRA,NIDPRB,NIDDRA,NIDDRB
240627_08_BB217_GA.XLSX,240627_08_BB217_JF.XLSX,0.1,0,0,0.1,0.6,0.7,0,0.3,0.3,0.2,0.1,0.1,0.6,0.8,0.4,0.9,0.5,0.6,0,0,0,0.1,1,0.9,0,0,0,0.1,1,1,1,0.9,1,0.9,1,1,1,0.9,0,0,1,0.8,0,0,0.2,0.3,0.8,0.7,0.2,0.3,0.2,0,0.2,0.1,0,0
240628_03_AB405_JF.XLSX,240628_03_AB405_SZ.XLSX,0,0,0.2,0,0.3,0.3,0.2,0.3,0.4,0.4,0.2,0,0.5,0.6,0.4,0.9,0.2,0.6,0,0.1,0.4,0.3,0.6,0.6,0,0,0.4,0.4,1,0.9,0.6,0.5,0.6,0.6,1,0.9,0.6,0.5,0,0,0.1,0.1,0.1,0,0.6,0.7,0.8,0.9,0.7,0.4,0.1,0,0,0,0.1,0
240628_05_AB405_JF.XLSX,240628_05_AB405_SC.XLSX,0,0,0,0,0.1,0,0,0,0.9,1,0,0,0.1,0,0.1,0,0.1,0,0,0.1,0.1,0.3,0.9,0.6,0,0,0.1,0.4,1,0.9,0.9,0.5,0.9,0.6,1,0.9,0.9,0.5,0,0.1,0.3,0.3,0.4,0.3,0.5,0.5,0.4,0.3,0.3,0.2,0,0,0,0,0,0
240701_02_AA401_AB.XLSX,240701_02_AA401_JF.XLSX,0,0,0,0.1,0.1,0.2,0,0,0.9,0.7,0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0,0,0.2,0.4,0.8,0.6,0,0,0.2,0.4,1,1,0.8,0.6,0.8,0.6,1,1,0.8,0.6,0.7,0,0.1,0,0,0.2,0.6,0.3,0,0.2,0,0.1,0,0,0.1,0.2,0,0.1
240701_03_AA411_JF.XLSX,240701_03_AA411_LL.XLSX,0,0,0.2,0,0,0.1,0,0,0.8,0.9,0.2,0,0,0.1,-0.2,0.1,-0.2,0.1,0,0,0.2,0.3,0.8,0.7,0,0,0.2,0.3,1,1,0.8,0.7,0.8,0.7,1,1,0.8,0.7,0,0,0.4,0.1,0,0,0.2,0.4,0.4,0.4,0.2,0.1,0,0,0.1,0.1,0,0
240701_04_AA309_AB.XLSX,240701_04_AA309_LL.XLSX,0,0,0,0.1,0.8,0.2,0,0.3,0.2,0.5,0,0.1,0.8,0.4,0.8,0.6,0.8,0.3,0,0.2,0.4,0.8,0.6,0,0,0,0.4,1,1,0.8,0.6,-0.2,0.6,0,1,0.8,0.6,-0.2,0,0.2,0.9,0.9,0.3,0.3,0.2,0.3,0.7,0.6,0.1,0.1,0,0,0.1,0,0,0
240701_05_AA305_AB.XLSX,240701_05_AA305_LL.XLSX,0,0,0,0,0.1,0,0,0.1,0.9,0.9,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0,0,0,0.2,1,0.8,0,0,0,0.2,1,1,1,0.8,1,0.8,1,1,1,0.8,0,0,0.3,0.3,0,0,0.4,0,0,0.1,0,0,0,0,0,0,0,0
240702_05_BA312_LM.XLSX,240702_05_BA312_PVM.XLSX,0,0,0,0,0.2,0.3,0,0,0.8,0.7,0,0,0.2,0.3,0.2,0.3,0.2,0.3,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.5,0.5,0,0,0,0,0.7,0.8,0,0,0,0,0,0,0,0
240704_02_BB203_GA.XLSX,240704_02_BB203_KL.XLSX,0,0,0,0.1,0.6,0.7,0.3,0.4,0.3,0.2,0,0.1,0.7,0.7,1,1,0.7,0.6,0.7,0.4,0.3,0.4,0,0.2,0,0,1,0.8,0.3,0.6,-0.7,-0.2,0,0.2,0.3,0.6,-0.7,-0.2,0.7,0.3,0.3,0.2,0,0,0.2,0.7,0.7,1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1
240704_04_BB211_AB.XLSX,240704_04_BB211_KL.XLSX,0,0.1,0,0,0.4,0.4,0,0.1,0.6,0.5,0,0.1,0.4,0.5,0.4,0.3,0.4,0.3,0,0,0,0.2,1,0.8,0,0,0,0.2,1,1,1,0.8,1,0.8,1,1,1,0.8,0,0,0,0,0.2,0,0.2,0.4,0.6,0.7,0.1,0.1,0,0,0,0,0,0
