IDT,IDNA,IDNB,NEFNNA,NEFNNB,NEFNA,NEFNB,NEFPA,NEFPB,NEFPPA,NEFPPB,NEFNENA,NEFNENB,NEFNCA,NEFNCB,NEFPCA,NEFPCB,NEFEA,NEFEB,NEFECA,NEFECB,NITDA,NITDB,NITFA,NITFB,NITAA,NITAB,NITMA,NITMB,NITCDFA,NITCDFB,NITCFAA,NITCFAB,NITEA,NITEB,NITAIA,NITAIB,NITCFAIA,NITCFAIB,NITEIA,NITEIB,NPDRA,NPDRB,NPDDA,NPDDB,NAMBA,NAMBB,NAFA,NAFB,NIPPA,NIPPB,NIPDA,NIPDB,NIDGA,NIDGB,NIDPA,NIDPB,NIDDA,NIDDB
1,240503_01_BC103_LL.XLSX,240503_01_BC103_SC.XLSX,False,False,False,False,True,False,True,False,False,True,False,False,True,False,2,0,1,0,False,False,True,True,False,False,False,False,True,True,True,True,0.0,0.0,False,False,True,True,0,0,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2,240503_01_BC103_LL.XLSX,240503_01_BC103_SC.XLSX,False,False,False,False,True,True,False,False,False,False,False,False,True,True,1,1,1,1,False,False,True,False,False,True,False,False,True,False,True,True,0.0,1.0,False,True,True,True,0,1,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
3,240503_01_BC103_LL.XLSX,240503_01_BC103_SC.XLSX,False,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,1,0,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
4,240503_01_BC103_LL.XLSX,240503_01_BC103_SC.XLSX,False,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,1,0,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
5,240503_01_BC103_LL.XLSX,240503_01_BC103_SC.XLSX,False,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,1,0,False,False,True,False,False,True,False,False,True,False,True,True,0.0,1.0,False,True,True,True,0,1,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False
6,240503_01_BC103_LL.XLSX,240503_01_BC103_SC.XLSX,False,False,False,True,False,False,False,False,True,False,False,True,False,False,0,-1,0,-1,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
7,240503_01_BC103_LL.XLSX,240503_01_BC103_SC.XLSX,False,False,False,False,True,True,False,False,False,False,False,False,True,True,1,1,1,1,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
8,240503_01_BC103_LL.XLSX,240503_01_BC103_SC.XLSX,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,0,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
9,240503_01_BC103_LL.XLSX,240503_01_BC103_SC.XLSX,False,False,False,False,False,True,True,False,False,False,False,False,True,True,2,1,1,1,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
10,240503_01_BC103_LL.XLSX,240503_01_BC103_SC.XLSX,False,False,False,False,False,True,False,False,True,False,False,False,False,True,0,1,0,1,False,False,False,False,True,True,False,False,False,False,True,True,1.0,1.0,True,True,True,True,1,1,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
1,240503_02_BC110_LL.XLSX,240503_02_BC110_SZ.XLSX,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,0,True,True,False,False,False,False,False,False,True,True,False,False,-1.0,-1.0,False,False,False,False,-1,-1,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
2,240503_02_BC110_LL.XLSX,240503_02_BC110_SZ.XLSX,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,0,True,False,False,True,False,False,False,False,True,True,False,True,-1.0,0.0,False,False,False,True,-1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3,240503_02_BC110_LL.XLSX,240503_02_BC110_SZ.XLSX,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,0,False,False,True,True,False,False,False,False,True,True,True,True,0.0,0.0,False,False,True,True,0,0,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
4,240503_02_BC110_LL.XLSX,240503_02_BC110_SZ.XLSX,False,False,True,True,False,False,False,False,False,False,True,True,False,False,-1,-1,-1,-1,True,False,False,True,False,False,False,False,True,True,False,True,-1.0,0.0,False,False,False,True,-1,0,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
5,240503_02_BC110_LL.XLSX,240503_02_BC110_SZ.XLSX,False,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,1,0,True,False,False,True,False,False,False,False,True,True,False,True,-1.0,0.0,False,False,False,True,-1,0,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False
6,240503_02_BC110_LL.XLSX,240503_02_BC110_SZ.XLSX,False,False,True,True,False,False,False,False,False,False,True,True,False,False,-1,-1,-1,-1,True,False,False,True,False,False,False,False,True,True,False,True,-1.0,0.0,False,False,False,True,-1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7,240503_02_BC110_LL.XLSX,240503_02_BC110_SZ.XLSX,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,0,True,False,False,True,False,False,False,False,True,True,False,True,-1.0,0.0,False,False,False,True,-1,0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
8,240503_02_BC110_LL.XLSX,240503_02_BC110_SZ.XLSX,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,0,False,False,True,True,False,False,False,False,True,True,True,True,0.0,0.0,False,False,True,True,0,0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
9,240503_02_BC110_LL.XLSX,240503_02_BC110_SZ.XLSX,False,False,True,False,False,False,False,False,False,True,True,False,False,False,-1,0,-1,0,False,True,True,False,False,False,False,False,True,True,True,False,0.0,-1.0,False,False,True,False,0,-1,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False
