ID,s,s_av,s_pal,s_ppt
C3A02,0.513400335008375,0.504355400696864,0.487111111111111,0.860869565217391
C3B04,0.286214135759272,0.219910846953938,0.284875183553598,0.893333333333333
C3B09,0.283539486203616,0.148036253776435,0.258536585365854,0.857142857142857
C3B12,0.361630695443645,0.204892966360856,0.411629686304514,0.661290322580645
C3B14,0.223327305605787,0.141148325358852,0.252854812398042,0.44
C3C02,0.388646288209607,0.396912899669239,0.350155279503106,0.831578947368421
C3C04,0.295958279009126,0.243243243243243,0.250871080139373,0.920245398773006
C3D02,0.285714285714286,0.245519713261649,0.32181168057211,0.134615384615385
C3D04,0.242356450410142,0.375494071146245,0.172727272727273,0.792452830188679
C3D05,0.366847826086957,0.26461038961039,NA,0.891666666666667
C3D06,0.16643929058663,0.120343839541547,0.151234567901235,0.516666666666667
C3D07,0.349620893007582,0.303393213572854,0.386991869918699,0.352112676056338
C3D08,0.354439592430859,0.380097879282219,0.301659125188537,0.551020408163265
C3D11,0.236663433559651,0.125340599455041,0.272572402044293,0.493506493506494
C3D12,0.246786632390745,0.23943661971831,0.241737488196412,0.352380952380952
C3D13,0.463331714424478,0.496341463414634,0.421875,0.701149425287356
C3E01,0.303780068728522,0.120300751879699,0.34006734006734,0.551515151515152
C3E03,0.2321083172147,0.176100628930818,0.216216216216216,0.712871287128713
C3E04,0.309335443037975,0.304900181488203,0.249589490968801,0.682692307692308
C3E05,0.319700460829493,0.368627450980392,0.271729185727356,0.526315789473684
C3E06,0.37046004842615,0.285915492957746,NA,0.887931034482759
C3E10,0.441048034934498,0.256756756756757,0.445910290237467,0.895348837209302
C3F07,0.271531607976241,0.196099674972914,0.282307692307692,0.686567164179104
C3F08,0.265324794144556,0.25982905982906,0.164912280701754,0.408071748878924
C3F09,0.453362255965293,0.455284552845528,0.40081799591002,0.84375
C3F12,0.410344827586207,0.351437699680511,0.315670800450958,0.94273127753304
C3F19,0.445878136200717,0.530085959885387,0.309968847352025,0.963636363636364
C3F21,0.319419879731164,0.324324324324324,0.302118171683389,0.690140845070423
C3G04,0.289902280130293,0.414253897550111,0.234848484848485,0.366666666666667
C3G05,0.266182298546896,0.226713532513181,0.237074401008827,0.565789473684211
C3G08,0.181066176470588,0.189189189189189,0.172607879924953,NA
C3H03,0.311926605504587,0.294117647058824,0.236434108527132,0.932432432432432
C3H07,0.441628264208909,0.512110726643599,0.459276018099547,0.269503546099291
C3H08,0.509386733416771,0.520618556701031,0.499068901303538,0.558823529411765
C3H16,0.371369294605809,0.349162011173184,0.35515873015873,0.529411764705882
C3I02,0.261091279959205,0.276463262764633,0.248479582971329,0.571428571428571
C3I03,0.28198149156233,0.356940509915014,0.165118679050568,0.654320987654321
C3I04,0.268882175226586,0.283054003724395,0.18,0.635036496350365
C3I05,0.175623268698061,0.184873949579832,0.145688800792864,0.463414634146341
C3I06,0.298118668596237,0.214650766609881,0.115384615384615,0.987179487179487
C3I11,0.294160583941606,0.158839779005525,0.397941680960549,0.888888888888889
C3I16,0.170179547228728,0.125356125356125,0.14105504587156,0.879310344827586
C3I20,0.211453744493392,0.239520958083832,0.1875,0.268292682926829
