"ID","bnpos_mean","bapos_mean","bnneut_mean","baneut_mean","bnneg_mean","baneg_mean","bsync_mean","bsyncpos_mean","bsyncneut_mean","bsyncneg_mean","bnpos_mean_Avioncito","bnpos_mean_Paloma","bnpos_mean_Piedra_papel_tijera","bapos_mean_Avioncito","bapos_mean_Paloma","bapos_mean_Piedra_papel_tijera","bnneut_mean_Avioncito","bnneut_mean_Paloma","bnneut_mean_Piedra_papel_tijera","baneut_mean_Avioncito","baneut_mean_Paloma","baneut_mean_Piedra_papel_tijera","bnneg_mean_Avioncito","bnneg_mean_Paloma","bnneg_mean_Piedra_papel_tijera","baneg_mean_Avioncito","baneg_mean_Paloma","baneg_mean_Piedra_papel_tijera","bsync_mean_Avioncito","bsync_mean_Paloma","bsync_mean_Piedra_papel_tijera","bsyncpos_mean_Avioncito","bsyncpos_mean_Paloma","bsyncpos_mean_Piedra_papel_tijera","bsyncneut_mean_Avioncito","bsyncneut_mean_Paloma","bsyncneut_mean_Piedra_papel_tijera","bsyncneg_mean_Avioncito","bsyncneg_mean_Paloma","bsyncneg_mean_Piedra_papel_tijera"
"C3A02",0.185516680227827,0.105263157894737,0.303091944670464,0.438736842105263,0.511391375101709,0.456,0.374884579870729,0.0253924284395199,0.11218836565097,0.23730378578024,0.210391822827939,0.146404109589041,0.327586206896552,0.0929824561403509,0.117598684210526,0.0526315789473684,0.380749574105622,0.214041095890411,0.413793103448276,0.312280701754386,0.559210526315789,0.315789473684211,0.40885860306644,0.639554794520548,0.258620689655172,0.594736842105263,0.323190789473684,0.631578947368421,0.373134328358209,0.376503237742831,0.384615384615385,0.0186567164179104,0.032377428307123,0,0.111940298507463,0.112858464384829,0.0769230769230769,0.242537313432836,0.231267345050879,0.307692307692308
"C3B04",0.0777238029146426,0.0346153846153846,0.480222068008328,0.714102564102564,0.44205412907703,0.251282051282051,0.426685198054204,0.00347463516330785,0.332870048644892,0.0903405142460042,0.0764617691154423,0.0796586059743954,0.0704225352112676,0.0142247510668563,0.051150895140665,0.0533333333333333,0.403298350824588,0.512091038406828,0.887323943661972,0.765291607396871,0.732736572890026,0.04,0.52023988005997,0.408250355618777,0.0422535211267606,0.220483641536273,0.216112531969309,0.906666666666667,0.431578947368421,0.456614509246088,0.0845070422535211,0.00300751879699248,0.0042674253200569,0,0.311278195488722,0.382645803698435,0.0422535211267606,0.117293233082707,0.069701280227596,0.0422535211267606
"C3B09",0.170562770562771,0.0200743494423792,0.107359307359307,0.618587360594796,0.722077922077922,0.361338289962825,0.34061135371179,0.00349344978165939,0.0681222707423581,0.268995633187773,0.175,0.172602739726027,0.142857142857143,0.010958904109589,0.0182648401826484,0.0673076923076923,0.228125,0.063013698630137,0.0476190476190476,0.635616438356164,0.628995433789954,0.471153846153846,0.596875,0.764383561643836,0.80952380952381,0.353424657534247,0.352739726027397,0.461538461538462,0.36875,0.309292649098474,0.471153846153846,0.003125,0,0.0288461538461538,0.14375,0.0416088765603329,0.0192307692307692,0.221875,0.267683772538141,0.423076923076923
"C3B14",0.220549158547387,0.160714285714286,0.20814880425155,0.363392857142857,0.571302037201063,0.475892857142857,0.372530573847601,0.0282220131702728,0.0743179680150517,0.269990592662277,0.192399049881235,0.232277526395173,0.311111111111111,0.0988235294117647,0.216129032258065,0.0533333333333333,0.168646080760095,0.2473604826546,0,0.338823529411765,0.385483870967742,0.32,0.63895486935867,0.520361990950226,0.688888888888889,0.562352941176471,0.398387096774194,0.626666666666667,0.453237410071942,0.316749585406302,0.372093023255814,0.0215827338129496,0.033167495854063,0.0232558139534884,0.0671462829736211,0.0845771144278607,0,0.364508393285372,0.199004975124378,0.348837209302326
"C3C04",0.0602464628023733,0.267381974248927,0.0324052943861251,0.190987124463519,0.907348242811502,0.541630901287554,0.513927576601671,0.0171773444753946,0.0074280408542247,0.489322191272052,0.0369318181818182,0.0798479087452472,0.00581395348837209,0.322946175637394,0.263448275862069,0.0747126436781609,0.0227272727272727,0.0395437262357414,0.0174418604651163,0.161473087818697,0.211724137931034,0.137931034482759,0.940340909090909,0.880608365019011,0.976744186046512,0.515580736543909,0.524827586206897,0.78735632183908,0.498579545454545,0.489147286821705,0.78125,0.0113636363636364,0.0224806201550388,0,0.00284090909090909,0.00930232558139535,0.0125,0.484375,0.457364341085271,0.76875
"C3D02",0.166759310728182,0.445054945054945,0.247359644246804,0.36043956043956,0.585881045025014,0.194505494505495,0.28177727784027,0.0804274465691789,0.0950506186726659,0.106299212598425,0.202049780380674,0.133599202392822,0.247787610619469,0.494890510948905,0.393346379647749,0.610619469026549,0.267935578330893,0.254237288135593,0.0619469026548673,0.322627737226277,0.396281800391389,0.265486725663717,0.530014641288433,0.612163509471585,0.690265486725664,0.182481751824818,0.210371819960861,0.123893805309735,0.249258160237389,0.301715438950555,0.300884955752212,0.0934718100890208,0.0575176589303734,0.20353982300885,0.0801186943620178,0.114026236125126,0.0176991150442478,0.0756676557863502,0.130171543895056,0.079646017699115
"C3D04",0.183410797282803,0.0498046875,0.261708973900608,0.594401041666667,0.554880228816589,0.355794270833333,0.384172661870504,0.010431654676259,0.163669064748201,0.210071942446043,0.196592398427261,0.167427701674277,0.523809523809524,0.0932311621966794,0.0322869955156951,0.135593220338983,0.136304062909568,0.309994926433283,0.26984126984127,0.480204342273308,0.631390134529148,0.711864406779661,0.667103538663172,0.52257737189244,0.206349206349206,0.426564495530013,0.336322869955157,0.152542372881356,0.380078636959371,0.389087200407955,0.267857142857143,0.0170380078636959,0.0071392146863845,0.0357142857142857,0.0629095674967235,0.201427842937277,0.214285714285714,0.300131061598952,0.180520142784294,0.0178571428571429
"C3D05",0.0295930949445129,0.131891891891892,0.706535141800247,0.269189189189189,0.26387176325524,0.598918918918919,0.320987654320988,0.0037037037037037,0.17037037037037,0.146913580246914,0.0196671709531014,NA,0.0733333333333333,0.0559254327563249,NA,0.459770114942529,0.717095310136157,NA,0.66,0.291611185086551,NA,0.172413793103448,0.263237518910741,NA,0.266666666666667,0.652463382157124,NA,0.367816091954023,0.351515151515152,NA,0.186666666666667,0,NA,0.02,0.186363636363636,NA,0.1,0.165151515151515,NA,0.0666666666666667
"C3D06",0.362533692722372,0.0525,0.175202156334232,0.26375,0.462264150943396,0.68375,0.380740740740741,0.0222222222222222,0.042962962962963,0.315555555555556,0.463483146067416,0.288753799392097,0.157894736842105,0.0455764075067024,0.0375,0.37037037037037,0.103932584269663,0.25531914893617,0.157894736842105,0.268096514745308,0.26,0.259259259259259,0.432584269662921,0.455927051671733,0.684210526315789,0.686327077747989,0.7025,0.37037037037037,0.35693215339233,0.408360128617363,0.36,0.0294985250737463,0.00643086816720257,0.12,0.0324483775811209,0.0578778135048231,0,0.294985250737463,0.344051446945338,0.24
"C3D07",0.216715976331361,0.349083215796897,0.180473372781065,0.35966149506347,0.602810650887574,0.291255289139633,0.323353293413174,0.0905688622754491,0.0576347305389222,0.175149700598802,0.206081081081081,0.190895741556535,0.518987341772152,0.308056872037915,0.352192362093352,0.653846153846154,0.231418918918919,0.138032305433186,0.164556962025316,0.36650868878357,0.363507779349364,0.269230769230769,0.5625,0.671071953010279,0.316455696202532,0.325434439178515,0.284299858557284,0.0769230769230769,0.314625850340136,0.323880597014925,0.384615384615385,0.0612244897959184,0.0880597014925373,0.333333333333333,0.0663265306122449,0.0537313432835821,0.0256410256410256,0.187074829931973,0.182089552238806,0.0256410256410256
