Marca temporal,Código del niño o de la niña:,Escala de Habilidades Sociales [Es cooperativo/a],Escala de Habilidades Sociales [Juega con diferentes niñas/os],"Escala de Habilidades Sociales [Intenta comprender el comportamiento de otro niño/a (""¿por qué llorás?"")]",Escala de Habilidades Sociales [Sigue las instrucciones de los adultos],Escala de Habilidades Sociales [Hace amigos/as fácilmente],"Escala de Habilidades Sociales [Defiende los derechos de otras niñas/os (""¡esto es de ella/él!"")]",Escala de Habilidades Sociales [Arregla su desorden cuando se lo piden],Escala de Habilidades Sociales [Consuela a otros niños/as cuando están molestos/as],Escala de Habilidades Sociales [Sigue las reglas],Escala de Habilidades Sociales [Invita a otros niños/as a jugar],Escala de Habilidades Sociales [Busca consuelo de los adultos cuando se hace daño],Escala de Habilidades Sociales [Comparte juguetes u otras pertenencias],Escala de Habilidades Sociales [Es seguro/a en situaciones sociales],Escala de Habilidades Sociales [Negocia con sus compañeras/os cuando es apropiado],Escala de Habilidades Sociales [Intercambia juguetes u otros objetos],"Escala de Habilidades Sociales [Es sensible a los problemas de los adultos (""¿estás triste?"")]",Escala de Habilidades Sociales [Reacciona de forma apropiada cuando le corrigen],Escala de Habilidades Sociales [Demuestra afecto a otros niños/as],Escala de Habilidades Sociales [Es invitado/a por otras niñas/os para jugar],Escala de Problemas de Conducta [Actúa impulsivamente y sin pensar],Escala de Problemas de Conducta [Se apega a los padres o cuidadores],Escala de Problemas de Conducta [Se burla de otros niños/as],Escala de Problemas de Conducta [Es nerviosa/o o tensa/o],Escala de Problemas de Conducta [Hace alborotos que molestan a los demás],Escala de Problemas de Conducta [Parece triste o deprimido/a],Escala de Problemas de Conducta [Tiene arranques de enojo o berrinches],"Escala de Problemas de Conducta [Se apega a su maestra en las situaciones nuevas (ej. salidas, paseos)]","Escala de Problemas de Conducta [Es agresivo/a físicamente (pega, patea, empuja)]",Escala de Problemas de Conducta [Parece sentir que nadie lo/a quiere],Escala de Problemas de Conducta [Le quita cosas a otras niñas/os],Escala de Problemas de Conducta [Tiene dificultades para hacer amigos/as],Escala de Problemas de Conducta [Desobedece las reglas],Escala de Problemas de Conducta [Prefiere estar sola/o que con otros/as],"Escala de Problemas de Conducta [Es muy activo/a, no puede quedarse quieto/a]",Escala de Problemas de Conducta [Parece sentir que tiene que ser perfecto/a],Escala de Problemas de Conducta [Intenta vengarse de los/as demás],Escala de Problemas de Conducta [Parece sentirse culpable por cualquier cosa],Escala de Problemas de Conducta [Es inquieto/a],Escala de Problemas de Conducta [Dice sentirse enfermo/a cuando está molesto/a o asustado/a],Escala de Problemas de Conducta [Perturba las actividades que se están desarrollando],Escala de Problemas de Conducta [Es tímido/a],"Escala de Problemas de Conducta [Es provocado/a fácilmente, tiene poca paciencia]",Escala de Problemas de Conducta [Molesta a otros niños/as]
12/07/2024 16:24:29,65,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
12/07/2024 16:22:58,69,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Raramente,Frecuentemente,Nunca,Nunca
12/07/2024 16:21:08,71,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Raramente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Raramente,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Raramente,Nunca,Raramente,Nunca,Algunas veces,Nunca,Frecuentemente,Raramente,Raramente,Nunca,Frecuentemente,Nunca,Algunas veces,Nunca,Algunas veces,Raramente
12/07/2024 16:18:49,74,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
12/07/2024 16:17:49,87,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Raramente,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Algunas veces,Nunca,Raramente,Nunca,Raramente,Nunca,Raramente,Nunca,Raramente,Nunca,Nunca,Raramente
12/07/2024 16:15:52,57,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Raramente,Raramente,Nunca,Raramente,Nunca,Nunca,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca
12/07/2024 14:24:39,93,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Raramente,Algunas veces,Frecuentemente,Raramente,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Raramente,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Raramente,Nunca,Algunas veces,Algunas veces,Nunca,Raramente,Algunas veces,Nunca,Algunas veces,Algunas veces,Algunas veces,Raramente,Algunas veces,Nunca,Raramente,Nunca,Algunas veces,Nunca,Algunas veces,Algunas veces,Raramente,Algunas veces
12/07/2024 14:20:36,22,Raramente,Raramente,Algunas veces,Frecuentemente,Raramente,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Raramente,Algunas veces,Algunas veces,Algunas veces,Raramente,Frecuentemente,Raramente,Algunas veces,Nunca,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Raramente,Nunca,Algunas veces,Raramente,Nunca,Nunca,Algunas veces,Raramente,Algunas veces,Raramente,Algunas veces,Nunca,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Raramente,Algunas veces,Algunas veces
12/07/2024 14:16:08,18,Raramente,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Nunca,Raramente,Nunca,Nunca,Raramente,Raramente,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Raramente,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Raramente,Frecuentemente,Nunca,Nunca
12/07/2024 14:12:21,24,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Raramente,Nunca,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca
12/07/2024 14:08:57,10,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Algunas veces,Raramente,Nunca,Nunca,Nunca,Raramente,Raramente,Raramente,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Nunca,Raramente,Nunca,Nunca,Raramente,Nunca,Algunas veces,Raramente,Nunca
12/07/2024 13:57:26,89,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Nunca,Algunas veces,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Algunas veces,Raramente,Nunca,Nunca,Raramente,Raramente,Raramente,Nunca,Raramente,Raramente
12/07/2024 13:54:09,67,Frecuentemente,Raramente,Algunas veces,Frecuentemente,Raramente,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Raramente,Frecuentemente,Algunas veces,Raramente,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Raramente,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Frecuentemente,Nunca,Nunca
12/07/2024 13:50:47,35,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Raramente,Raramente,Raramente,Algunas veces,Nunca,Raramente,Nunca,Nunca,Nunca,Raramente,Nunca,Algunas veces,Nunca,Algunas veces,Algunas veces,Algunas veces,Nunca,Algunas veces,Algunas veces,Raramente,Nunca,Raramente,Raramente
12/07/2024 13:47:18,59,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Raramente,Frecuentemente,Algunas veces,Algunas veces,Raramente,Algunas veces,Algunas veces,Raramente,Algunas veces,Raramente,Nunca,Algunas veces,Algunas veces,Nunca,Algunas veces,Raramente,Algunas veces,Nunca,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Algunas veces,Raramente,Frecuentemente,Algunas veces
12/07/2024 13:37:39,91,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Nunca,Algunas veces,Nunca,Raramente,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Raramente,Algunas veces,Nunca,Nunca,Nunca,Frecuentemente,Nunca,Algunas veces,Algunas veces,Nunca
12/07/2024 13:30:00,43,Algunas veces,Frecuentemente,Algunas veces,Raramente,Algunas veces,Algunas veces,Raramente,Algunas veces,Algunas veces,Frecuentemente,Raramente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Nunca,Algunas veces,Algunas veces,Nunca,Raramente,Raramente,Algunas veces,Nunca,Frecuentemente,Algunas veces,Algunas veces,Nunca,Algunas veces,Nunca,Algunas veces,Algunas veces,Algunas veces,Raramente,Algunas veces,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Raramente,Algunas veces
12/07/2024 13:24:28,86,Algunas veces,Raramente,Algunas veces,Algunas veces,Raramente,Algunas veces,Nunca,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Raramente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Raramente,Raramente,Nunca,Algunas veces,Nunca,Frecuentemente,Raramente,Algunas veces,Raramente,Algunas veces,Algunas veces,Algunas veces,Raramente,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Frecuentemente,Raramente
12/07/2024 12:50:26,51,Frecuentemente,Algunas veces,Raramente,Frecuentemente,Raramente,Raramente,Frecuentemente,Raramente,Frecuentemente,Raramente,Algunas veces,Raramente,Algunas veces,Algunas veces,Algunas veces,Raramente,Frecuentemente,Raramente,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Frecuentemente,Nunca,Nunca
12/07/2024 12:47:19,85,Frecuentemente,Raramente,Algunas veces,Frecuentemente,Raramente,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Raramente,Frecuentemente,Frecuentemente,Raramente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Raramente,Algunas veces,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Frecuentemente,Nunca,Nunca
12/07/2024 12:42:29,16,Algunas veces,Raramente,Algunas veces,Algunas veces,Raramente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Nunca,Raramente,Nunca,Frecuentemente,Raramente,Nunca,Raramente,Algunas veces,Nunca,Raramente,Raramente,Algunas veces,Nunca,Raramente,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,Frecuentemente,Nunca,Raramente,Algunas veces
6/10/2023 19:43:15,N11,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Raramente,Raramente,Raramente,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
6/10/2023 19:41:33,N10,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Raramente,Raramente,Raramente,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Nunca,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca
6/10/2023 19:36:47,N9,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Frecuentemente,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Raramente,Nunca,Raramente,Algunas veces,Nunca,Raramente,Nunca,Raramente,Nunca,Raramente,Nunca,Nunca,Nunca,Algunas veces,Nunca,Raramente,Nunca,Nunca,Raramente
23/09/2023 12:36:49,N32,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Raramente,Nunca,Nunca
23/09/2023 12:34:09,N31,Raramente,Raramente,Nunca,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Raramente,Raramente,Raramente,Raramente,Nunca,Nunca,Raramente,Raramente,Nunca,Raramente,Frecuentemente,Nunca,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Frecuentemente,Raramente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Frecuentemente,Nunca,Frecuentemente,Algunas veces,Frecuentemente,Raramente,Frecuentemente,Frecuentemente
23/09/2023 12:31:31,N30,Nunca,Raramente,Nunca,Raramente,Raramente,Raramente,Raramente,Nunca,Raramente,Nunca,Algunas veces,Raramente,Raramente,Nunca,Raramente,Raramente,Raramente,Nunca,Raramente,Frecuentemente,Nunca,Algunas veces,Raramente,Frecuentemente,Raramente,Algunas veces,Nunca,Frecuentemente,Raramente,Algunas veces,Algunas veces,Frecuentemente,Algunas veces,Frecuentemente,Nunca,Frecuentemente,Raramente,Frecuentemente,Nunca,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente
23/09/2023 12:26:34,N29,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Nunca,Nunca
