ID,CBQ1,CBQ2,CBQ3,CBQ4,CBQ5,CBQ6,CBQ7,CBQ8,CBQ9,CBQ10,CBQ11,CBQ12,CBQ13,CBQ14,CBQ15,CBQ16,CBQ17,CBQ18,CBQ19,CBQ20,CBQ21,CBQ22,CBQ23,CBQ24,CBQ25,CBQ26,CBQ27,CBQ28,CBQ29,CBQ30,CBQ31,CBQ32,CBQ33,CBQ34,CBQ35,CBQ36,SUR,NAF,EFC
AB105,5,6,6,4,3,4,5,6,7,4,5,5,3,5,6,5,2,3,6,6,6,4,2,6,6,2,4,3,5,5,3,5,6,5,6,6,4.36363636363636,4.27272727272727,5.27272727272727
BA102,2,5,6,1,4,5,,6,7,6,2,7,5,5,6,2,6,6,4,5,7,2,3,6,4,7,1,,6,6,3,6,6,3,6,6,3.33333333333333,5.09090909090909,5.72727272727273
BA202,2,7,7,2,7,4,4,5,5,5,6,6,2,6,6,6,7,6,4,3,6,4,7,5,5,6,4,1,6,5,2,6,6,2,6,6,3.36363636363636,5.90909090909091,5.36363636363636
AB203,2,6,7,6,5,6,6,7,5,4,3,7,3,7,2,7,7,6,5,5,5,2,5,7,4,5,3,2,6,6,4,5,6,2,5,6,4.09090909090909,5.45454545454545,5.36363636363636
AB206,6,6,7,7,2,7,7,2,7,7,1,7,5,1,5,7,7,6,7,1,7,2,5,7,7,1,4,6,7,5,7,5,7,3,7,7,5.90909090909091,3.54545454545455,6.27272727272727
AB205,3,7,5,4,3,,6,5,7,7,4,7,4,6,5,6,5,4,4,2,6,5,6,7,6,4,,4,5,2,5,6,,5,6,7,5.09090909090909,4.72727272727273,5.625
BB02,2,6,7,6,5,6,7,6,5,6,5,7,3,5,7,7,7,7,6,2,6,6,6,7,6,2,6,6,2,6,2,6,6,6,4,7,5.54545454545455,4.54545454545455,6.36363636363636
AB107,2,5,7,7,2,5,7,7,7,2,1,5,7,4,7,7,4,7,3,7,7,3,6,7,7,7,7,2,7,7,7,5,7,2,7,7,4.90909090909091,5.18181818181818,6.63636363636364
BA103,4,4,6,2,3,5,3,3,7,6,3,6,4,3,6,5,5,2,5,4,4,5,3,5,5,3,5,5,4,6,3,5,1,6,4,6,4.45454545454545,3.63636363636364,4.81818181818182
BB01,2,7,7,6,2,3,2,6,6,2,6,6,4,1,6,1,6,6,1,6,4,1,5,6,6,2,1,5,7,6,7,6,1,1,6,7,3.27272727272727,4.81818181818182,4.72727272727273
BA201,3,4,2,1,4,6,7,1,6,7,7,7,6,1,6,7,6,6,6,1,7,7,1,7,7,4,5,4,2,4,3,2,6,6,2,6,5.54545454545455,2.81818181818182,6
BB13,2,6,6,6,5,3,5,6,5,4,4,5,5,5,7,6,6,6,3,4,4,5,2,5,6,7,3,7,5,5,6,6,6,4,4,4,5.18181818181818,4.90909090909091,4.81818181818182
