Sujeto,Onset,Offset
Adultx,16534,16737
Adultx,17159,18036
Niñx,18036,18188
Adultx,18188,18424
Niñx,18424,20145
Niñx,20905,23048
Niñx,23571,23875
Niñx,24212,25039
Niñx,27790,30456
Adultx,28769,29072
Niñx,30574,31536
Niñx,31975,33679
Niñx,33932,46032
Adultx,34776,35839
Adultx,38370,42539
Adultx,42572,43045
Adultx,43079,43332
Adultx,43349,43382
Niñx,46319,47500
Niñx,47837,48394
Niñx,49019,49913
Niñx,49997,50031
Niñx,50048,50655
Niñx,50909,51752
Niñx,57135,57743
Niñx,58097,60173
Adultx,58570,59127
Adultx,59194,59768
Niñx,60443,60645
Niñx,60865,61506
Niñx,61658,63818
Adultx,61709,62215
Niñx,63970,70365
Adultx,67665,67851
Niñx,70956,75647
Adultx,74331,74770
Niñx,76154,79866
Adultx,77385,77436
Niñx,80642,86025
Adultx,84439,85890
Niñx,86886,88253
Adultx,87207,87443
Niñx,88827,89552
Niñx,90329,91037
Niñx,92522,93737
Niñx,94902,96960
Niñx,96977,97011
Niñx,97180,98395
Niñx,98412,100504
Niñx,101095,105398
Adultx,101972,102647
Adultx,104014,104217
Niñx,106512,108925
Niñx,108992,111287
Adultx,110106,111051
Niñx,112334,119134
Adultx,118206,118611
Niñx,119624,125040
Adultx,124095,124433
Niñx,125715,129175
Adultx,125732,127454
Niñx,130255,130609
Niñx,133917,133934
Niñx,133984,141089
Niñx,143029,145054
Niñx,145560,146725
Niñx,148564,149003
Niñx,150488,151281
Adultx,150674,150944
Niñx,151602,152462
Niñx,157154,158250
Niñx,159314,161136
Adultx,159769,159854
Adultx,160039,161001
Niñx,161187,163752
Niñx,164562,164899
Niñx,166131,166890
Niñx,166975,170265
Niñx,170586,171126
Niñx,171278,173590
Niñx,174282,178112
Niñx,178349,179024
Niñx,179530,181099
Adultx,180171,180694
Niñx,181589,187022
Adultx,185183,186314
Niñx,187056,190583
Niñx,190853,194042
Niñx,196084,198615
Adultx,197502,198514
Niñx,198818,208859
Adultx,201687,202699
Adultx,203594,203931
Adultx,205838,206918
Niñx,208909,209399
Niñx,210445,215558
Adultx,210698,210968
Niñx,215811,218309
Niñx,218849,219270
Niñx,220131,221768
Niñx,226949,227927
Niñx,228872,232112
Niñx,234930,234947
Niñx,237259,244583
Niñx,244802,244954
Niñx,247367,250894
Niñx,251265,254320
Niñx,256564,258640
Niñx,266048,266352
Niñx,267465,267752
Niñx,284475,285032
Niñx,298178,299832
Niñx,300861,304928
Niñx,308067,310547
Adultx,308134,308489
Niñx,310581,312387
Niñx,313028,317230
Niñx,319980,321195
Niñx,321297,321364
Niñx,321752,321820
Niñx,322056,324385
Niñx,326967,330375
Niñx,336197,337497
Niñx,338442,340079
Niñx,340180,340197
Niñx,340214,340230
Niñx,340247,340264
Niñx,340416,340551
Niñx,340720,340754
Niñx,340787,341614
Niñx,345360,345715
Niñx,345968,346575
Niñx,347419,351216
Niñx,351317,352549
Niñx,353055,357747
Niñx,362877,364817
Niñx,366927,369205
Adultx,367028,367045
Niñx,369897,370673
Niñx,370977,371027
Niñx,388206,390265
Niñx,392155,392222
Niñx,392290,392307
Niñx,392324,392459
Niñx,393842,394298
Niñx,396593,398027
Niñx,398888,404153
Adultx,400592,401149
Adultx,401689,402027
Adultx,403714,403748
Niñx,404541,404845
Niñx,409789,410852
Niñx,411679,412776
Niñx,413535,414632
Niñx,414936,415999
Niñx,416354,422766
Adultx,416759,416792
Adultx,416809,416910
Adultx,417045,417940
Adultx,420420,420572
Adultx,420876,421011
Niñx,422850,423492
Niñx,426090,427322
Niñx,429314,431490
Adultx,439928,439995
Adultx,440046,440333
Adultx,440350,440839
Adultx,441919,443185
Niñx,442307,442324
Niñx,442341,442425
