Sujeto,Onset,Offset
Adultx,42960,44597
Adultx,44766,45964
Niñx,45964,46892
Adultx,46892,46909
Niñx,46909,46960
Adultx,46960,46977
Niñx,46977,47213
Adultx,47213,47247
Niñx,49221,49491
Niñx,49947,50639
Niñx,51584,53018
Adultx,52073,52090
Adultx,52124,52647
Niñx,53760,54908
Niñx,56882,57068
Niñx,57557,57895
Niñx,58890,60747
Niñx,61557,66079
Adultx,61894,62637
Niñx,66214,68509
Adultx,66299,67767
Niñx,68830,69471
Niñx,70484,72222
Niñx,72525,73960
Niñx,74550,76339
Niñx,76896,79360
Adultx,79680,79832
Niñx,79832,79900
Adultx,79900,79934
Adultx,80035,80102
Niñx,80102,81773
Adultx,80963,81638
Niñx,82279,89417
Adultx,83849,85080
Adultx,85941,87375
Adultx,88000,89350
Niñx,89974,97045
Niñx,97079,97129
Niñx,98918,99390
Niñx,99492,99660
Niñx,105550,106680
Niñx,107052,107575
Niñx,107963,109026
Niñx,109870,118527
Adultx,117767,118341
Niñx,118932,121632
Adultx,119725,121176
Adultx,121800,122003
Niñx,122189,123083
Niñx,124905,129681
Adultx,125108,125749
Niñx,129816,137039
Niñx,137680,140751
Niñx,141747,146151
Niñx,147197,152327
Niñx,152884,157187
Niñx,157339,157913
Niñx,161355,163836
Adultx,161609,161659
Niñx,164022,168932
Niñx,169253,171683
Adultx,169979,170687
Niñx,171801,176459
Adultx,171869,172628
Niñx,178703,180947
Adultx,179479,179783
Niñx,181234,186280
Adultx,181690,182213
Adultx,182770,183225
Niñx,186752,187562
Niñx,189554,196034
Adultx,189689,189840
Niñx,196590,198025
Adultx,196759,197519
Niñx,198750,199797
Niñx,201518,202952
Adultx,201636,202142
Niñx,203222,214917
Adultx,205230,205889
Adultx,206226,206867
Adultx,207492,208184
Niñx,215372,217752
Adultx,217009,217296
Niñx,218241,219675
Adultx,218511,219490
Niñx,219760,228029
Adultx,221700,222207
Adultx,225885,226037
Niñx,229244,230037
Niñx,245545,250928
Niñx,251164,251940
Niñx,252177,253949
Niñx,255062,256244
Niñx,257104,257492
Niñx,258488,259568
Niñx,260682,261863
Niñx,263010,265862
Niñx,267364,268140
Niñx,268545,269018
Niñx,270385,271347
Niñx,272865,278603
Niñx,278772,287007
Adultx,281894,281995
Adultx,286619,286686
Niñx,287429,297689
Adultx,288272,289167
Adultx,292052,293335
Niñx,298043,298701
Niñx,299055,304894
Adultx,304253,304371
Niñx,305215,305957
Niñx,307054,314024
Adultx,307999,308202
Niñx,314699,318124
Adultx,314884,316082
Adultx,317382,317955
Niñx,319694,322005
Adultx,321077,321212
Adultx,321263,321280
Adultx,321465,321617
Niñx,322782,322967
Adultx,322967,322984
Niñx,323440,323710
Niñx,324385,325904
Adultx,325904,326072
Niñx,326072,326106
Niñx,326258,326292
Niñx,326410,327659
Niñx,328266,331371
Niñx,333329,333750
Niñx,333970,334037
Niñx,334105,335404
Niñx,337463,340737
Niñx,346457,347757
Niñx,347993,354085
Adultx,348752,350085
Adultx,352819,353342
Niñx,354304,355907
Adultx,355030,355553
Niñx,356177,360109
Niñx,360312,379465
Adultx,364092,364665
Adultx,370032,370049
Adultx,370150,370217
Adultx,371044,371382
Adultx,371415,372141
Adultx,373829,374115
Adultx,374622,375600
Adultx,377153,378284
Niñx,380832,381439
Niñx,381810,383194
Niñx,383295,384713
Niñx,385540,386991
Adultx,385810,386603
Niñx,390535,394889
Adultx,390585,391902
Adultx,391969,392037
Adultx,392104,392189
Niñx,396239,397639
Niñx,397977,398027
Niñx,398517,399023
Niñx,399057,407039
Adultx,399124,402752
Adultx,403579,405064
Adultx,405857,406634
Niñx,407190,409654
Adultx,407309,408557
Niñx,409941,423036
Adultx,410076,410970
Adultx,411392,411494
Adultx,411510,411629
Adultx,412219,415358
Adultx,415898,417079
Adultx,419307,423424
