Sujeto,Onset,Offset
Niñx,39012,41475
Niñx,41813,42977
Adultx,42977,43332
Niñx,43332,43399
Niñx,43872,43889
Adultx,43889,44530
Adultx,46015,47213
Adultx,47584,48259
Adultx,48951,50267
Adultx,51415,51837
Adultx,52377,53794
Adultx,53963,53980
Adultx,54705,56410
Niñx,54739,54773
Niñx,54807,55785
Adultx,56899,58182
Adultx,59700,62552
Adultx,62637,63497
Adultx,64594,66130
Adultx,67530,68070
Adultx,68880,70264
Adultx,71327,73538
Adultx,74837,76879
Adultx,76964,77031
Adultx,77065,77436
Niñx,77774,78179
Adultx,80862,81790
Adultx,89620,91139
Adultx,91594,96690
Adultx,96994,97568
Adultx,97686,98142
Adultx,98564,100386
Adultx,101449,101753
Adultx,109684,111254
Adultx,112384,113414
Adultx,113717,121109
Adultx,124990,125024
Adultx,126795,127859
Adultx,128972,129310
Adultx,134085,134541
Adultx,136279,144362
Adultx,145155,145341
Adultx,154791,156394
Adultx,159820,160900
Adultx,184019,186735
Niñx,184187,185048
Adultx,220215,224384
Adultx,225464,226037
Adultx,226999,227759
Adultx,232011,233024
Adultx,239267,242963
Niñx,241647,241934
Adultx,251232,255535
Adultx,260580,261120
Adultx,261390,261509
Adultx,267179,268039
Adultx,273844,275228
Adultx,278097,281455
Adultx,286973,287294
Adultx,287479,288036
Adultx,295191,295782
Adultx,295934,298212
Niñx,296423,296457
Niñx,296558,296642
Niñx,296659,297132
Niñx,297756,297975
Adultx,299072,300220
Niñx,300962,301030
Adultx,301030,305721
Niñx,303173,303308
Niñx,304354,304574
Niñx,305434,305485
Niñx,305721,305974
Adultx,305974,306025
Niñx,306025,306447
Adultx,306447,306970
Niñx,306970,310260
Adultx,308202,309383
