ID,Tipo de actividad,Ciclo,NXLSX,DXLSX
AB303,Dibujo/pintura,240710_09,240710_09_AB303_SZ.XLSX,240710_09_AB3D_JIN.XLSX
AB304,Exposición docente,240711_01,240711_01_AB304_JIN.XLSX,240711_01_AB3D_JIN.XLSX
AB310,Exposición docente,240711_01,240711_01_AB310_KL.XLSX,240711_01_AB3D_JIN.XLSX
AB305,Exposición docente,240711_02,240711_02_AB305_GA.XLSX,240711_02_AB3D_JIN.XLSX
AB307,Exposición docente,240711_02,240711_02_AB307_KL.XLSX,240711_02_AB3D_JIN.XLSX
AB311,Exposición docente,240711_03,240711_03_AB311_GA.XLSX,240711_03_AB3D_JIN.XLSX
AB312,Exposición docente,240711_03,240711_03_AB312_KL.XLSX,240711_03_AB3D_JIN.XLSX
AB314,Juego con números,240711_04,240711_04_AB314_KL.XLSX,240711_04_AB3D_JIN.XLSX
AB315,Juego con números,240711_04,240711_04_AB315_GA.XLSX,240711_04_AB3D_JIN.XLSX
AB304,Exposición docente,240711_05,240711_05_AB304_KL.XLSX,240711_05_AB3D_JIN.XLSX
