ID,Tipo de actividad,Ciclo,NXLSX,DXLSX
AA407,Juego libre,240618_02,240618_02_AA407_AB.XLSX,240618_02_AA5D_JIN.XLSX
AA408,Juego libre,240618_02,240618_02_AA408_KL.XLSX,240618_02_AA5D_JIN.XLSX
AA402,Juego libre,240618_03,240618_03_AA402_SC.XLSX,240618_03_AA5D_JIN.XLSX
AA404,Juego libre,240618_03,240618_03_AA404_KL.XLSX,240618_03_AA5D_JIN.XLSX
AA405,Exposición docente,240618_04,240618_04_AA405_SC.XLSX,240618_04_AA5D_JIN.XLSX
AA411,Exposición docente,240618_04,240618_04_AA411_KL.XLSX,240618_04_AA5D_JIN.XLSX
AA301,Lectoescritura,240618_05,240618_05_AA301_SC.XLSX,240618_05_AA1D_JIN.XLSX
AA302,Juego con números,240618_05,240618_05_AA302_AB.XLSX,240618_05_AA1D_JIN.XLSX
AA309,Juego libre,240618_05,240618_05_AA309_KL.XLSX,240618_05_AA1D_JIN.XLSX
AA304,Juego libre,240618_06,240618_06_AA304_AB.XLSX,240618_06_AA1D_JIN.XLSX
AA307,Lectoescritura,240618_06,240618_06_AA307_KL.XLSX,240618_06_AA1D_JIN.XLSX
AA308,Juego libre,240618_06,240618_06_AA308_SC.XLSX,240618_06_AA1D_JIN.XLSX
AA401,Exposición docente,240618_07,240618_07_AA401_SC.XLSX,240618_07_AA5D_JIN.XLSX
AA406,Exposición docente,240618_07,240618_07_AA406_AB.XLSX,240618_07_AA5D_JIN.XLSX
AA409,Exposición docente,240618_07,240618_07_AA409_KL.XLSX,240618_07_AA5D_JIN.XLSX
AA404,Exposición docente,240618_08,240618_08_AA404_KL.XLSX,240618_08_AA5D_JIN.XLSX
AA407,Exposición docente,240618_08,240618_08_AA407_AB.XLSX,240618_08_AA5D_JIN.XLSX
AA405,Exposición docente,240618_09,240618_09_AA405_SC.XLSX,240618_09_AA5D_JIN.XLSX
AA408,Exposición docente,240618_09,240618_09_AA408_KL.XLSX,240618_09_AA5D_JIN.XLSX
AB302,Exposición docente,240619_01,240619_01_AB302_SZ.XLSX,240619_01_AB3D_JIN.XLSX
AB303,Exposición docente,240619_01,240619_01_AB303_JF.XLSX,240619_01_AB3D_JIN.XLSX
AB304,Exposición docente,240619_01,240619_01_AB304_GA.XLSX,240619_01_AB3D_JIN.XLSX
AB401,Exposición docente,240619_02,240619_02_AB401_JF.XLSX,240619_02_AB4D_JIN.XLSX
AB402,Exposición docente,240619_02,240619_02_AB402_GA.XLSX,240619_02_AB4D_JIN.XLSX
AB404,Exposición docente,240619_02,240619_02_AB404_SZ.XLSX,240619_02_AB4D_JIN.XLSX
AB405,Juego con números,240619_03,240619_03_AB405_JF.XLSX,240619_03_AB4D_JIN.XLSX
AB406,Juego con números,240619_03,240619_03_AB406_SZ.XLSX,240619_03_AB4D_JIN.XLSX
AB407,Juego con números,240619_03,240619_03_AB407_GA.XLSX,240619_03_AB4D_JIN.XLSX
AB408,Juego con números,240619_04,240619_04_AB408_JF.XLSX,240619_04_AB4D_JIN.XLSX
AB409,Juego con números,240619_04,240619_04_AB409_GA.XLSX,240619_04_AB4D_JIN.XLSX
AB404,Juego con números,240619_05,240619_05_AB404_JF.XLSX,240619_05_AB4D_JIN.XLSX
AB410,Juego con números,240619_05,240619_05_AB410_GA.XLSX,240619_05_AB4D_JIN.XLSX
AB305,Dibujo/pintura,240619_06,240619_06_AB305_GA.XLSX,240619_06_AB3D_JIN.XLSX
AB310,Dibujo/pintura,240619_06,240619_06_AB310_SZ.XLSX,240619_06_AB3D_JIN.XLSX
AB312,Juego libre,240619_06,240619_06_AB312_JF.XLSX,240619_06_AB3D_JIN.XLSX
AB301,Dibujo/pintura,240619_07,240619_07_AB301_SZ.XLSX,240619_07_AB3D_JIN.XLSX
AB314,Dibujo/pintura,240619_07,240619_07_AB314_GA.XLSX,240619_07_AB3D_JIN.XLSX
AB315,Dibujo/pintura,240619_07,240619_07_AB315_JF.XLSX,240619_07_AB3D_JIN.XLSX
AB308,Dibujo/pintura,240619_08,240619_08_AB308_JF.XLSX,240619_08_AB3D_JIN.XLSX
AB309,Dibujo/pintura,240619_08,240619_08_AB309_GA.XLSX,240619_08_AB3D_JIN.XLSX
AB313,Dibujo/pintura,240619_08,240619_08_AB313_SZ.XLSX,240619_08_AB3D_JIN.XLSX
AB306,Dibujo/pintura,240619_09,240619_09_AB306_SZ.XLSX,240619_09_AB3D_JIN.XLSX
AB307,Dibujo/pintura,240619_09,240619_09_AB307_GA.XLSX,240619_09_AB3D_JIN.XLSX
AB308,Dibujo/pintura,240619_09,240619_09_AB308_JF.XLSX,240619_09_AB3D_JIN.XLSX
BA301,Exposición docente,240624_01,240624_01_BA301_PVM.XLSX,240624_01_BA3D_JIN.XLSX
BA318,Exposición docente,240624_01,240624_01_BA318_AB.XLSX,240624_01_BA3D_JIN.XLSX
BA310,Exposición docente,240624_02,240624_02_BA310_LM.XLSX,240624_02_BA3D_JIN.XLSX
BA313,Exposición docente,240624_02,240624_02_BA313_PVM.XLSX,240624_02_BA3D_JIN.XLSX
BA314,Exposición docente,240624_03,240624_03_BA314_AB.XLSX,240624_03_BA3D_JIN.XLSX
BA316,Exposición docente,240624_03,240624_03_BA316_LM.XLSX,240624_03_BA3D_JIN.XLSX
BA318,Exposición docente,240624_03,240624_03_BA318_PVM.XLSX,240624_03_BA3D_JIN.XLSX
BA302,Dibujo/pintura,240624_04,240624_04_BA302_AB.XLSX,240624_04_BA3D_JIN.XLSX
BA303,Dibujo/pintura,240624_04,240624_04_BA303_LM.XLSX,240624_04_BA3D_JIN.XLSX
BA317,Dibujo/pintura,240624_04,240624_04_BA317_LM.XLSX,240624_04_BA3D_JIN.XLSX
BA304,Dibujo/pintura,240624_05,240624_05_BA304_LM.XLSX,240624_05_BA3D_JIN.XLSX
BA305,Dibujo/pintura,240624_05,240624_05_BA305_PVM.XLSX,240624_05_BA3D_JIN.XLSX
BA307,Dibujo/pintura,240624_06,240624_06_BA307_AB.XLSX,240624_06_BA3D_JIN.XLSX
BA311,Dibujo/pintura,240624_06,240624_06_BA311_LM.XLSX,240624_06_BA3D_JIN.XLSX
BA312,Dibujo/pintura,240624_06,240624_06_BA312_PVM.XLSX,240624_06_BA3D_JIN.XLSX
BA306,Dibujo/pintura,240624_07,240624_07_BA306_PVM.XLSX,240624_07_BA3D_JIN.XLSX
BA308,Dibujo/pintura,240624_07,240624_07_BA308_AB.XLSX,240624_07_BA3D_JIN.XLSX
BB209,Exposición docente,240626_01,240626_01_BB209_KL.XLSX,240626_01_BBXD_JIN.XLSX
BB211,Exposición docente,240626_01,240626_01_BB211_JF.XLSX,240626_01_BBXD_JIN.XLSX
BB213,Exposición docente,240626_01,240626_01_BB213_SZ.XLSX,240626_01_BBXD_JIN.XLSX
