Sujeto,Onset,Offset
Adultx,10830,13092
Niñx,13092,13885
Adultx,14408,14425
Niñx,14425,16028
Adultx,15100,15252
Niñx,16939,18559
Niñx,19892,24128
Niñx,25090,26355
Adultx,25444,25562
Niñx,26389,27807
Niñx,28161,29224
Adultx,29511,30169
Niñx,31587,32650
Niñx,32886,36582
Niñx,37847,40058
Adultx,39383,39923
Niñx,40244,41779
Adultx,41779,41796
Niñx,41982,44749
Niñx,44901,47230
Niñx,47922,51702
Niñx,52360,56072
Niñx,58435,59110
Niñx,64257,65708
Niñx,68745,72239
Niñx,72981,76035
Niñx,79259,80929
Niñx,85367,87882
Niñx,89282,93299
Adultx,91257,92978
Niñx,93501,95357
Niñx,112064,112890
Niñx,112975,113025
Niñx,113565,113903
Niñx,116924,121429
Niñx,125648,127521
Niñx,128145,129698
Niñx,130626,131605
Niñx,132246,132887
Niñx,134625,139030
Adultx,134693,134929
Adultx,134963,135132
Niñx,139469,140397
Niñx,140768,142911
Niñx,142928,143012
Niñx,143316,145510
Niñx,145797,145847
Niñx,145864,146151
Niñx,146995,148530
Niñx,150184,151956
Adultx,155466,156090
Niñx,157069,158099
Niñx,160579,165844
Niñx,166536,170198
Niñx,175210,177809
Adultx,175277,175497
Niñx,178382,180964
Adultx,181251,181724
Adultx,184305,184407
Niñx,184407,184643
Niñx,185655,186027
Niñx,187900,188811
Niñx,189705,191545
Niñx,191764,192034
Niñx,200843,201231
Niñx,201315,201704
Niñx,211744,219000
Niñx,220840,222915
Niñx,224586,227539
Niñx,229041,232281
Niñx,232517,234036
Niñx,234255,236770
Adultx,234593,235065
Niñx,236804,237445
Niñx,238120,239689
Niñx,240482,240837
Niñx,242507,245612
Adultx,243233,244127
Niñx,246574,248667
Niñx,249257,255079
Adultx,250287,250590
Niñx,255855,263365
Adultx,256581,258150
Niñx,263618,263871
Adultx,263871,264580
Niñx,264580,264715
Niñx,266622,267415
Niñx,268394,269760
Niñx,271026,275852
Niñx,276004,276038
Niñx,276156,276831
Niñx,278856,280830
Adultx,285960,285977
Niñx,285977,288036
Niñx,288492,289808
Adultx,289791,289977
Niñx,289842,289909
Niñx,289977,291850
Adultx,290044,291107
Niñx,293588,298380
Niñx,298515,301064
Niñx,303494,305114
Niñx,310868,311003
Niñx,313467,322242
Adultx,318360,318900
Adultx,321060,321482
Niñx,324756,329329
Niñx,329464,331034
Niñx,332519,333531
Niñx,334341,337260
Niñx,337834,338459
Niñx,339674,343994
Niñx,344297,345833
Niñx,346491,348162
Niñx,350929,351149
Niñx,353393,356700
Adultx,355688,356515
Niñx,358557,360227
Niñx,361425,362826
Niñx,364564,366539
Niñx,367045,367230
Niñx,367450,368040
Niñx,369829,370740
Niñx,371770,377069
Adultx,377406,377423
Niñx,377423,378098
Adultx,377457,379364
Niñx,378722,379060
Adultx,380207,381270
