"ID","tb_score","tb_errors","tb_meanrt_correct","tb_meanrt_incorrect","ne_score","ne_errors","ne_meanrt_correct","ne_meanrt_incorrect","mt_score","mt_errors","mt_meanrt_correct","mt_meanrt_incorrect","bcd_score","bcd_lgst_streak","bcd_meanrt_correct","bcd_meanrt_incorrect","bci_score","bci_lgst_streak","bci_meanrt_correct","bci_meanrt_incorrect","sm_score","sm_lgst_streak","sm_meanrt_correct","sm_meanrt_incorrect","cs_score","cs_meanrt_correct","cs_meanrt_incorrect","jm_tot_test_trials","jm_score","jm_errors","jm_complete","jm_meanrt_correct","jm_meanrt_incorrect","jm_tot_ax_trial","jm_ax_score","jm_ax_errors","jm_tot_else_trial","jm_else_score","jm_else_errors","jm_ax_meanrt_correct","jm_ax_meanrt_incorrect","jm_else_meanrt_correct","jm_else_meanrt_incorrect","jm_drt_ax"
"AA303",24,0,1111.47058823529,NA,13,5,2647,4107.8,15,9,2434.46666666667,2459.44444444444,2,2,4566.5,2192.66666666667,1,1,3780,2291,6,4,2442,2079.66666666667,11,3666.90909090909,2777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA304",24,0,1098.94117647059,NA,6,12,3027.5,3880.66666666667,18,6,2628.77777777778,2508.16666666667,1,1,9924,5060.66666666667,0,0,NA,2694.33333333333,3,2,2073.33333333333,3620.66666666667,9,5547.11111111111,5965.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA305",21,3,1052.17647058824,729,6,12,3786,2260.08333333333,14,10,3075.64285714286,3021,1,1,2614,2046,2,2,4402.5,1368,3,3,1829.33333333333,2479.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA306",22,2,1103.17647058824,720.5,15,3,4745.26666666667,3960,11,13,2532,3275.15384615385,2,2,3023.5,1178,2,2,2691,3566.66666666667,3,3,1571.66666666667,1443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA307",22,2,804.625,436,13,5,6764.84615384615,11493,18,6,3393,5235,1,1,7146,4654,2,2,9137.5,7305,9,5,8415.77777777778,12479.75,13,8777.46153846154,12026,60,56,4,TRUE,792.946428571429,1185.75,42,40,2,18,16,2,778.65,1305.5,828.6875,1066,-50.0375
"AA308",24,0,1133.35294117647,NA,12,6,3833.91666666667,4789.83333333333,20,4,2149.5,2850.75,2,2,4517,1887,0,0,NA,2826,5,3,2297.8,928.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA309",20,4,1083.15384615385,NA,3,15,9458.66666666667,3677.57142857143,2,22,3830,3655.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA401",20,4,780.266666666667,882,12,6,2489.08333333333,4865.5,12,12,2038.91666666667,2707.91666666667,1,1,5029,1549,0,0,NA,1514.66666666667,6,6,2959.5,5356.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA402",22,2,1485.125,989,16,2,4964.6875,8269,14,10,4285.57142857143,5498.2,2,2,11419.5,8021.66666666667,1,1,8691,6640.33333333333,5,5,9024,4652.33333333333,13,9728.84615384615,15885.5,60,42,18,TRUE,983.595238095238,936.625,42,42,0,18,0,18,983.595238095238,NA,NA,936.625,NA
"AA403",20,4,583.529411764706,589.5,14,4,3081.85714285714,5528.75,13,11,2154.23076923077,2927.36363636364,2,1,3268.5,1080.66666666667,1,1,5883,2620,6,4,2368.83333333333,6006.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA404",22,2,726.1875,610,14,4,2485.92857142857,3389,15,9,2327.06666666667,2978.44444444444,1,1,4814,2778.33333333333,1,1,6031,1428.33333333333,5,2,3434.6,2989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA405",23,1,1058.41176470588,120,13,5,4617.38461538462,6603,10,14,5634.8,4992.14285714286,2,2,8449.5,4157,2,2,6989,4522.33333333333,4,4,2639.5,1802.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA406",19,5,969.2,878,14,4,6804.92857142857,9697.25,18,6,3405.88888888889,4960,1,1,9291,2767,3,3,15667.3333333333,6222.33333333333,5,4,3800,4720.66666666667,12,9538.91666666667,13307.3333333333,60,52,8,TRUE,1038.5,1354.4,42,40,2,18,12,6,1034.825,2069.5,1050.75,877.666666666667,-15.925
"AA407",24,0,868.764705882353,NA,4,14,3214,7331.07692307692,13,11,3821.92307692308,3878.72727272727,1,1,4177,3784,0,0,NA,1471.33333333333,4,4,3057.75,4226.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA408",23,1,929.058823529412,789,14,4,4940.21428571429,5502.25,18,6,3105.22222222222,3068.16666666667,3,3,5729,3589,3,2,6139.33333333333,6188.33333333333,2,2,841.5,551,11,7804.45454545455,10964.5,60,45,15,TRUE,716.577777777778,694,42,39,3,18,6,12,728.179487179487,NA,641.166666666667,694,87.0128205128206
"AA409",20,4,790.5625,1055.33333333333,14,4,2299.14285714286,3712.25,15,9,2576.93333333333,2526.88888888889,5,5,4686.6,2674.66666666667,2,1,3408,1893.33333333333,5,5,1858.4,980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
