ID,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,CHAOSC
BB204,2,3,2,2,4,4,3,3,2,3,4,4,3,3,1,2.8666666666666667
AB306,2,2,2,2,2,2,2,2,2,2,1,2,3,2,1,1.9333333333333333
BA314,1,2,2,3,4,2,2,2,2,2,2,2,4,2,1,2.2
BA313,2,2,2,2,4,1,4,2,2,4,2,4,4,3,1,2.6
AA309,3,2,2,1,2,1,2,1,1,1,1,1,1,2,3,1.6
AA406,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1.7333333333333334
BA101,1,2,2,3,4,3,3,3,2,2,2,3,2,3,1,2.4
AA104,1,1,2,3,2,2,3,1,1,1,1,2,3,2,1,1.7333333333333334
BB06,2,2,2,2,2,2,2,2,2,2,1,1,3,2,1,1.8666666666666667
AB102,2,2,2,2,1,2,2,2,1,2,1,2,2,1,1,1.6666666666666667
BA104,1,2,2,2,2,1,2,2,2,1,1,2,3,2,1,1.7333333333333334
BB16,2,3,3,3,3,2,2,2,2,3,2,3,3,3,4,2.6666666666666665
BB11,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1.4
AB204,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2.066666666666667
BB04,2,2,2,2,2,1,3,2,2,1,2,2,2,2,2,1.9333333333333333
AB106,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1.8
AA108,2,2,2,3,3,2,2,2,2,2,2,1,3,1,2,2.066666666666667
BB08,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1.3333333333333333
AA203,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1.4
AA204,2,2,3,2,3,2,2,2,1,2,2,3,2,3,2,2.2
BA203,1,1,2,1,2,1,3,1,1,1,1,2,1,1,2,1.4
AA105,2,1,1,2,2,2,1,3,1,2,1,2,2,1,1,1.6
BB09,2,3,3,2,4,2,3,2,1,2,1,2,3,3,3,2.4
BB03,3,4,4,3,4,2,3,2,2,1,1,1,2,3,4,2.6
AA101,1,1,3,1,2,2,2,1,1,1,1,1,1,1,2,1.4
BB13,2,2,2,1,2,2,1,1,1,2,2,3,2,2,1,1.7333333333333334
BA201,3,2,3,1,4,2,3,2,2,2,2,2,3,3,1,2.3333333333333335
