"ID","Informante","Años_previos_de_escolaridad","Usa_dispositivos_electrónicos_cotidianamente","Libros_en_el_hogar","Frecuencia_de_lectura_compartida","Materiales_didácticos_en_el_hogar","Acceso_a_vestimenta","Hace_deporte","Vida_social","Calidad_de_sueño","Edad_de_la_madre","Edad_del_padre","Educación_de_la_madre","Educación_del_padre","Composición_del_hogar","Hogar_biparental","Cohabitantes","Son_inmigrantes","Mudanzas_desde_el_nacimiento","Madre_trabaja_en_blanco","Padre_trabaja_en_blanco","Madre_estabilidad_laboral","Padre_estabilidad_laboral","Barrio_tranquilo","Percepción_de_ingresos","Percepción_de_recursos","Percepción_de_calma"
"C3G13","Madre",5,1,2,3,3,3,1,7,2,33,34,8,8,"Biparental",1,3,0,1,1,1,1,1,3,2,4,1
"C3H01","Madre",2,0,2,3,3,3,1,6,1,34,37,9,5,"Biparental",1,4,0,0,0,0,1,1,3,3,3,1
"C3H02","Padre",4,1,2,1,3,3,0,5,1,42,45,5,14,"Biparental",1,4,0,1,1,1,1,1,3,4,4,0
"C3H03","Padre",5,1,2,2,3,3,0,7,1,47,50,14,14,"Biparental",1,4,0,1,1,1,1,1,4,1,3,0
"C3H04","Madre",3,1,2,2,3,3,0,4,0,37,49,8,8,"Biparental",1,3,0,0,1,1,1,1,3,1,3,1
"C3H05","Madre",2,1,1,2,3,3,0,5,1,41,44,5,11,"Biparental",1,5,0,1,1,1,1,1,3,2,3,0
"C3H06",NA,6,0,1,2,3,3,1,NA,2,39,39,11,6,"Biparental",1,4,0,1,1,1,1,1,4,4,4,2
"C3H07","Madre",1,0,2,2,3,2,0,6,2,37,37,11,11,"Biparental",1,3,0,0,1,1,1,1,4,4,4,1
"C3H08","Padre",2,1,1,2,2,3,0,6,2,32,28,3,5,"Otra configuración",0,10,0,0,NA,NA,NA,NA,4,3,3,2
"C3H09","Padre",3,0,1,2,2,3,0,4,1,26,28,5,8,"Biparental",1,4,0,4,NA,NA,1,1,3,3,4,2
"C3H10","Padre",5,1,2,2,3,3,1,7,2,42,38,11,11,"Monoparental",0,2,0,0,1,1,1,1,0,3,3,2
"C3H11","Madre",6,1,NA,2,3,3,1,6,2,52,57,8,3,"Biparental",1,7,0,0,0,0,1,1,2,2,3,3
"C3H12","Padre",5,1,NA,3,3,3,1,5,2,46,43,11,11,"Biparental",1,3,0,1,1,1,1,1,2,3,3,2
"C3H13","Padre",3,1,2,1,3,3,0,7,2,48,38,9,6,"Biparental",1,3,0,0,0,0,1,1,2,3,NA,1
"C3H14","Madre",4,1,2,3,3,3,1,7,2,41,40,11,11,"Biparental",1,3,0,1,1,1,1,1,0,3,3,2
"C3H15","Padre",2,1,2,0,3,3,1,7,1,48,54,11,8,"Biparental",1,4,0,0,1,1,1,1,1,3,3,1
"C3H16","Madre",3,1,2,3,3,3,1,7,2,48,54,11,8,"Biparental",1,4,0,0,1,1,1,1,1,3,4,2
"C3I01","Madre",6,1,2,1,3,3,1,7,2,47,50,12,9,"Biparental",1,3,0,1,1,1,1,1,3,3,3,2
"C3I02","Madre",5,1,3,3,3,3,0,5,NA,42,45,8,6,"Biparental",1,3,0,0,NA,NA,1,1,2,2,4,2
"C3I03","Madre",2,1,3,3,3,3,1,7,2,34,37,14,14,"Biparental",1,3,0,0,1,1,1,1,3,3,3,1
"C3I04","Madre",2,0,2,3,3,3,0,6,2,35,37,12,13,"Biparental",1,4,0,1,1,1,1,1,3,2,3,1
"C3I05","Otro",5,0,NA,NA,3,3,1,NA,NA,34,37,11,13,"Biparental",1,3,0,1,1,1,1,1,2,3,4,2
"C3I06","Padre",3,1,1,0,3,3,0,7,1,38,38,13,5,"Biparental",1,6,0,3,1,1,1,1,3,2,2,3
"C3I07","Madre",5,0,3,3,3,3,1,7,2,38,40,11,5,"Tenencia compartida",0,2,0,1,NA,NA,1,1,2,3,3,1
"C3I08","Madre",6,1,3,3,3,3,1,6,2,46,NA,12,11,"Biparental",1,4,0,1,1,1,NA,NA,1,2,3,2
"C3I09","Padre",4,0,2,3,3,2,1,7,1,43,44,11,8,"Biparental",1,3,0,0,1,1,1,1,2,1,1,0
"C3I10","Madre",5,0,3,3,3,3,1,7,2,33,65,10,8,"Monoparental",0,4,1,0,1,1,1,1,2,2,2,1
"C3I11","Madre",5,1,1,0,3,3,1,7,2,38,40,11,11,"Tenencia compartida",0,3,0,0,1,1,1,1,3,3,3,2
"C3I12","Madre",2,1,1,1,2,2,1,4,2,28,26,5,5,"Biparental",1,9,0,0,NA,NA,1,1,3,3,4,2
"C3I13","Madre",4,0,3,2,3,3,1,7,2,30,NA,7,NA,"Monoparental",0,2,0,1,1,1,1,1,2,2,NA,2
"C3I14","Padre",1,0,1,2,3,3,1,7,2,26,28,5,5,"Tenencia compartida",0,2,0,0,1,1,1,1,3,4,4,1
"C3I15","Madre",3,1,2,3,3,3,1,7,2,43,NA,6,NA,"Monoparental",0,2,0,2,1,1,1,1,2,2,2,1
"C3I16","Padre",3,1,2,1,3,3,0,5,2,41,38,14,8,"Biparental",1,4,0,1,1,1,0,0,2,3,2,3
"C3I18","Padre",3,1,1,0,3,3,0,6,1,35,46,5,11,"Monoparental",0,2,0,4,NA,NA,0,0,4,3,3,1
"C3I20","Madre",3,1,2,2,3,3,1,6,2,42,42,8,8,"Monoparental",0,2,0,1,0,0,1,1,4,2,2,0
