"ID","Informante","Años_previos_de_escolaridad","Usa_dispositivos_electrónicos_cotidianamente","Libros_en_el_hogar","Frecuencia_de_lectura_compartida","Materiales_didácticos_en_el_hogar","Acceso_a_vestimenta","Hace_deporte","Vida_social","Calidad_de_sueño","Edad_de_la_madre","Edad_del_padre","Educación_de_la_madre","Educación_del_padre","Composición_del_hogar","Hogar_biparental","Cohabitantes","Son_inmigrantes","Mudanzas_desde_el_nacimiento","Madre_trabaja_en_blanco","Padre_trabaja_en_blanco","Madre_estabilidad_laboral","Padre_estabilidad_laboral","Barrio_tranquilo","Percepción_de_ingresos","Percepción_de_recursos","Percepción_de_calma"
"BA306","Padre",4,0,2,3,3,3,0,6,2,40,39,11,11,"Biparental",1,3,0,1,1,1,1,1,3,3,3,2
"BA307","Madre",1,1,2,1,3,3,1,7,2,38,53,9,11,"Biparental",1,3,0,0,1,1,1,1,1,2,3,2
"BA308","Madre",2,0,2,3,3,3,1,7,2,33,45,14,14,"Otra configuración",0,2,0,1,1,1,1,1,2,2,3,2
"BA309","Madre",2,1,2,1,3,3,1,5,0,46,50,5,3,"Biparental",1,4,0,0,0,NA,1,1,2,1,4,0
"BA310","Madre",2,1,2,1,3,3,1,7,1,30,45,9,14,"Biparental",1,3,0,0,NA,1,1,1,3,4,4,2
"BA311","Madre",3,0,1,2,3,3,1,5,1,34,44,5,5,"Biparental",1,5,0,1,NA,0,NA,0,2,2,3,1
"BA312","Padre",2,1,2,2,3,3,0,NA,0,30,34,6,8,"Biparental",1,4,0,2,0,1,1,1,2,2,2,4
"BA313","Madre",2,1,2,NA,2,3,0,5,0,39,46,14,11,"Biparental",1,2,0,1,0,1,1,1,2,2,1,0
"BA314","Madre",2,1,3,2,3,3,0,3,1,45,39,11,11,"Biparental",1,4,0,1,1,1,1,1,3,4,4,0
"BA315","Madre",2,0,1,1,2,3,1,6,0,23,NA,4,NA,"Otra configuración",0,4,1,3,0,NA,1,NA,2,2,3,2
"BA317","Madre",2,0,2,3,3,3,0,5,1,38,37,11,14,"Biparental",1,3,0,0,NA,1,1,1,3,3,3,0
"BB01","Madre",2,1,2,2,3,3,0,5,1,44,40,8,11,"Biparental",1,4,0,0,0,1,1,1,1,4,4,3
"BB02","Madre",3,1,2,0,3,3,1,5,2,39,38,14,14,"Biparental",1,3,0,1,1,1,1,1,4,3,3,1
"BB03","Madre",3,1,2,0,2,2,0,3,0,36,36,6,0,"Biparental",1,4,1,0,0,0,1,1,4,1,2,2
"BB04","Madre",2,1,2,2,3,3,1,4,1,37,45,5,3,"Biparental",1,3,0,0,0,0,1,1,3,0,3,1
"BB06","Madre",5,0,2,3,3,3,1,6,1,37,39,14,11,"Biparental",1,4,0,0,1,0,1,1,3,4,4,2
"BB08","Madre",2,1,2,2,2,3,1,5,2,44,41,11,11,"Monoparental",0,3,0,2,1,1,1,1,2,4,4,3
"BB09","Madre",2,1,2,2,3,3,0,3,0,31,39,5,6,"Biparental",1,4,0,0,0,NA,1,1,2,2,4,2
"BB11","Madre",2,0,2,3,3,3,1,7,1,38,42,8,11,"Biparental",1,3,0,1,0,1,0,1,3,3,4,2
"BB13","Padre",3,1,3,2,3,3,1,5,0,39,36,11,11,"Tenencia compartida",0,6,0,4,1,1,1,1,2,2,4,1
"BB16","Madre",4,1,1,0,1,3,1,4,1,31,34,4,3,"Biparental",1,3,0,3,0,0,0,1,3,1,3,2
"BB202","Padre",2,1,2,2,3,3,1,6,1,30,32,8,5,"Biparental",1,5,0,2,1,0,1,1,3,3,3,2
"BB203","Madre",2,1,2,3,3,3,1,6,1,35,49,5,5,"Biparental",1,3,1,0,1,1,1,1,3,2,3,2
"BB204","Madre",3,1,2,3,3,2,0,4,0,32,NA,9,NA,"Otra configuración",0,6,0,0,0,NA,1,NA,0,1,2,0
"BB206","Madre",3,0,2,3,3,3,1,6,2,35,31,8,8,"Biparental",1,4,0,0,1,1,0,1,1,4,4,2
"BB207","Madre",2,0,3,3,3,3,1,7,2,34,43,9,8,"Biparental",1,3,0,2,NA,1,NA,1,4,2,3,1
"BB208","Madre",5,1,3,3,3,3,0,7,NA,38,42,14,11,"Biparental",1,3,0,1,NA,1,0,1,2,3,4,1
"BB211","Madre",2,0,1,2,2,3,0,4,1,25,24,5,5,"Otra configuración",0,3,0,2,1,NA,1,NA,3,3,3,2
