ID,Código
AA1D,D1
AA106,N01
AA102,N02
AA107,N03
AA104,N04
AA108,N05
AA103,N06
AA105,N07
AA101,N08
AA2D,D2
AA202,N09
AA204,N10
AA203,N11
AB1D,D3
AB105,N12
AB101,N13
AB109,N14
AB106,N15
AB102,N16
AB107,N17
AB110,N18
AB108,N19
AB103,N20
AB2D,D4
AB201,N21
AB203,N22
AB202,N23
AB205,N24
AB204,N25
AB207,N26
AB206,N27
BA1D,D5
BA103,N28
BA102,N29
BA104,N30
BA101,N31
BA105,N32
BA2D,D6
BA201,N33
BA204,N34
BA205,N35
BA202,N36
BA203,N37
BBD,D7
BB07,N38
BB01,N39
BB03,N40
BB14,N41
BB06,N42
BB04,N43
BB05,N44
BB08,N45
BB13,N46
BB02,N47
BB12,N48
BB10,N49
BB15,N50
BB16,N51
BB09,N52
BB11,N53
